depth	min	max	median	mean
15	5057	5922	5507	5505
31	5525	6395	5954	5952
61	6766	7582	7162	7165
91	8019	8817	8433	8427
102	8491	9240	8870	8863
112	8908	9604	9260	9261
122	9304	10008	9646	9649
132	9632	10425	10045	10041
152	10377	11192	10781	10782
165	10852	11616	11258	11245
173	11132	11822	11505	11496
183	11447	12128	11796	11796
193	11754	12359	12055	12052
203	12003	12562	12286	12285
213	12241	12779	12509	12509
224	12452	12977	12718	12714
244	12788	13243	13029	13027
254	12956	13356	13160	13162
264	13082	13492	13285	13289
274	13190	13588	13397	13396
284	13307	13693	13502	13502
295	13415	13823	13613	13609
305	13496	13914	13699	13701
315	13578	14002	13786	13789
335	13738	14190	13960	13959
366	13999	14445	14211	14217
396	14240	14665	14456	14459
417	14411	14838	14623	14626
427	14482	14933	14706	14706
447	14639	15122	14877	14876
467	14813	15291	15055	15054
488	15004	15514	15241	15245
508	15178	15748	15446	15446
528	15369	15968	15655	15659
549	15603	16232	15905	15911
571	15870	16549	16180	16189
588	16060	16825	16428	16426
