depth	min	max	median	mean
12	799	1527	1203	1198
18	1052	1697	1372	1375
24	1350	1988	1663	1665
30	1684	2451	2089	2082
36	2184	3056	2632	2625
42	2714	3583	3165	3158
49	3353	4100	3735	3728
55	3786	4410	4123	4122
61	4125	4661	4426	4412
67	4310	4832	4591	4583
73	4445	4931	4714	4707
79	4571	5030	4815	4811
85	4674	5125	4903	4905
92	4782	5243	5008	5009
98	4888	5303	5090	5095
102	4958	5344	5145	5147
106	5016	5394	5195	5195
110	5061	5434	5247	5245
114	5114	5480	5299	5294
121	5189	5550	5377	5375
127	5235	5599	5439	5436
133	5314	5651	5493	5492
135	5335	5669	5512	5510
139	5369	5700	5548	5544
145	5411	5755	5593	5593
151	5468	5804	5644	5643
155	5506	5826	5675	5675
159	5543	5862	5707	5706
165	5591	5905	5754	5754
171	5639	5955	5804	5801
175	5672	5992	5837	5834
182	5719	6052	5894	5891
188	5777	6112	5944	5941
194	5818	6162	5998	5993
197	5852	6183	6021	6019
199	5877	6200	6040	6037
201	5890	6224	6058	6055
207	5933	6289	6118	6113
213	6008	6370	6183	6184
219	6084	6451	6258	6260
225	6158	6547	6349	6349
232	6247	6702	6465	6471
238	6412	6868	6626	6626
244	6584	7073	6817	6820
250	6781	7289	7012	7016
256	6951	7461	7198	7198
260	7048	7555	7298	7299
262	7071	7637	7344	7347
