"labID","age","error","depth"
"242477",1478,266,90
"242478",1540,266,95
"242479",1601,266,100
"242480",1656,266,105
"242481",1717,266,110
"242482",1778,266,115
"242483",1839,266,120
"242484",1901,266,125
"242485",1962,266,130
"242486",2023,266,135
"242487",2084,266,140
"242488",2145,266,145
"242489",2207,266,150
"242490",2268,266,155
"242491",2329,266,160
"242492",2390,266,165
"242493",2451,266,170
"242494",2574,266,180
"242495",2635,266,185
"242496",2696,266,190
"242497",2757,266,195
"242498",2819,266,200
"242499",2856,266,205
"242500",2871,266,210
"242501",2885,266,215
"242502",2900,266,220
"242503",2914,266,225
"242504",2929,266,230
"242505",2943,266,235
"242506",2957,266,240
"242507",2972,266,245
"242508",2986,266,250
"242509",3001,266,255
"242510",3015,266,260
"242511",3049,266,265
"242512",3101,266,270
"242513",3260,266,285
"242514",3313,266,290
"242515",3418,266,300
"242516",3471,266,305
"242517",3524,266,310
"242518",3577,266,315
"242519",3735,266,330
"242520",4181,266,345
"242521",4349,266,350
"242522",4517,266,355
"242523",4853,266,365
"242524",5021,266,370
"242525",5524,266,385
"242526",5860,266,395
"242527",6028,266,400
"242528",6747,266,420
"242529",7345,266,435
"242530",7743,266,445
"242531",8142,266,455
"242532",8341,266,460
"242533",8740,266,470
"242534",9537,266,490
"242535",9935,266,500
"242536",10314,266,510
"242537",10712,266,520
"242538",11111,266,530
"242539",11510,266,540
"242540",11908,266,550
