depth	min	max	median	mean
90	1195	1587	1405	1402
95	1275	1671	1476	1476
100	1362	1737	1553	1553
105	1431	1799	1621	1620
110	1505	1872	1687	1683
115	1580	1921	1747	1748
120	1640	1989	1817	1813
125	1711	2054	1883	1883
130	1776	2109	1941	1943
135	1847	2164	2000	2001
140	1898	2222	2056	2056
145	1965	2281	2115	2119
150	2021	2334	2176	2176
155	2088	2388	2235	2237
160	2141	2441	2290	2290
165	2188	2496	2344	2344
170	2239	2556	2397	2395
180	2347	2641	2505	2503
185	2412	2701	2555	2556
190	2463	2739	2601	2603
195	2516	2794	2652	2652
200	2558	2833	2694	2695
205	2606	2873	2737	2738
210	2647	2918	2778	2780
215	2690	2950	2813	2816
220	2723	2988	2850	2853
225	2764	3026	2887	2889
230	2798	3056	2925	2925
235	2839	3093	2961	2963
240	2875	3136	3000	3000
245	2903	3166	3037	3037
250	2934	3216	3077	3076
255	2973	3256	3116	3117
260	3012	3301	3155	3158
265	3062	3351	3199	3201
270	3096	3405	3244	3246
285	3236	3560	3390	3391
290	3283	3610	3446	3445
300	3387	3719	3555	3554
305	3437	3798	3619	3619
310	3493	3868	3687	3685
315	3552	3960	3755	3756
330	3777	4248	3998	4003
345	4066	4582	4319	4321
350	4192	4685	4431	4439
355	4319	4854	4573	4576
365	4584	5151	4867	4869
370	4732	5340	5025	5028
385	5193	5814	5523	5522
395	5554	6161	5866	5866
400	5724	6342	6026	6029
420	6422	7155	6788	6782
435	6989	7694	7366	7360
445	7389	8084	7736	7737
455	7828	8474	8148	8145
460	8020	8644	8335	8332
470	8390	9089	8720	8725
490	9162	9894	9531	9526
500	9595	10266	9911	9914
510	9959	10614	10291	10292
520	10338	10953	10639	10643
530	10666	11262	10973	10971
540	10960	11582	11247	11253
550	11141	11819	11469	11469
