depth	min	max	median	mean
465	-40	570	239	249
473	142	685	393	396
491	521	1081	797	801
501	759	1356	1058	1057
525	1406	2014	1719	1717
541	1792	2418	2115	2114
568	2447	3005	2726	2724
578	2633	3177	2885	2885
678	3882	4376	4139	4139
680	3907	4408	4165	4166
686	4074	4563	4316	4316
690	4161	4717	4440	4438
694	4395	4981	4689	4687
698	4642	5294	4976	4973
710	5384	6197	5807	5798
726	6227	6949	6585	6590
738	6742	7334	7057	7046
748	7074	7623	7362	7360
762	7426	7979	7699	7700
782	7846	8353	8100	8098
789	8000	8498	8246	8244
812	8482	8959	8712	8713
814	8530	9008	8760	8759
822	8737	9235	8988	8987
830	8971	9503	9233	9234
842	9319	9861	9605	9600
853	9629	10144	9882	9886
861	9809	10328	10063	10065
868	9959	10448	10208	10209
873.5	10036	10586	10308	10309
