depth	min	max	median	mean
30	1020	1582	1297	1295
40	1242	1742	1478	1484
50	1457	1928	1687	1686
60	1688	2155	1924	1923
70	1917	2397	2172	2166
80	2172	2658	2421	2419
90	2430	2941	2681	2681
100	2663	3169	2917	2916
110	2901	3448	3173	3172
120	3150	3718	3423	3426
130	3386	3957	3677	3680
140	3618	4257	3946	3942
150	3889	4509	4204	4202
155	4022	4641	4327	4328
165	4279	4927	4601	4604
170	4417	5064	4740	4739
180	4692	5396	5027	5034
190	4965	5717	5345	5343
200	5269	6046	5637	5645
210	5517	6346	5941	5944
220	5869	6658	6247	6257
230	6197	7029	6591	6597
240	6512	7378	6939	6937
250	6861	7705	7280	7288
260	7234	8048	7627	7622
270	7576	8373	7965	7969
275	7759	8520	8126	8124
280	7906	8684	8283	8287
290	8214	9007	8609	8611
300	8537	9313	8924	8930
310	8852	9616	9239	9231
320	9148	9897	9539	9538
330	9450	10181	9832	9834
340	9771	10468	10131	10132
350	10108	10738	10425	10424
360	10404	10988	10709	10705
365	10552	11154	10842	10845
370	10688	11264	10991	10987
380	10974	11530	11261	11258
385	11126	11673	11383	11387
390	11242	11801	11508	11509
400	11475	12068	11750	11753
405	11560	12170	11856	11862
410	11646	12295	11954	11961
420	11784	12515	12133	12140
