depth	min	max	median	mean
16.5	76	416	259	257
22.5	215	464	346	345
23.5	240	471	363	361
24.5	258	482	379	378
25.5	272	494	396	394
26.5	296	507	413	409
27.5	323	517	426	424
29.5	350	545	454	452
30.5	363	563	468	466
31.5	382	582	481	481
32.5	401	594	495	496
33.5	415	609	511	512
34.5	423	630	527	527
40.5	504	740	621	619
41.5	519	758	634	634
42.5	534	768	649	649
43.5	548	781	664	663
44.5	559	799	678	677
45.5	567	829	693	692
52.5	638	953	791	791
53.5	652	967	804	806
54.5	661	986	818	821
55.5	671	1012	831	835
56.5	683	1026	845	849
57.5	697	1045	859	863
104.5	1289	1799	1541	1544
118.5	1507	1984	1738	1740
119.5	1521	1992	1754	1755
120.5	1537	2010	1769	1769
121.5	1554	2024	1784	1783
122.5	1564	2036	1797	1797
123.5	1580	2049	1810	1811
146.5	1896	2366	2133	2130
165.5	2186	2584	2402	2397
166.5	2203	2606	2413	2411
167.5	2222	2620	2428	2426
168.5	2245	2632	2443	2441
169.5	2262	2646	2458	2455
170.5	2276	2655	2474	2470
182.5	2475	2819	2640	2639
183.5	2487	2832	2656	2654
184.5	2505	2842	2669	2669
185.5	2521	2853	2683	2683
186.5	2537	2870	2699	2699
187.5	2554	2882	2714	2714
188.5	2570	2893	2730	2730
189.5	2585	2914	2745	2746
190.5	2595	2938	2762	2762
221.5	3057	3441	3246	3246
222.5	3074	3448	3263	3261
223.5	3086	3459	3279	3275
224.5	3099	3478	3291	3290
225.5	3115	3494	3306	3305
226.5	3130	3513	3319	3320
236.5	3258	3685	3464	3469
237.5	3268	3698	3480	3484
238.5	3285	3712	3497	3499
239.5	3296	3741	3509	3514
240.5	3306	3771	3524	3530
241.5	3319	3791	3537	3545
