depth	min	max	median	mean
5	1252	1549	1391	1395
10	1291	1682	1461	1467
15	1351	1843	1534	1547
20	1399	1932	1608	1623
25	1457	2049	1689	1700
30	1504	2144	1765	1776
35	1564	2252	1837	1853
40	1624	2353	1907	1929
45	1688	2443	1987	2006
50	1737	2530	2070	2084
55	1802	2624	2141	2161
60	1869	2749	2223	2245
65	1935	2832	2306	2325
70	1997	2941	2390	2404
75	2045	3021	2461	2481
80	2105	3105	2542	2561
85	2159	3191	2623	2638
90	2222	3300	2710	2717
95	2290	3415	2784	2795
100	2340	3548	2869	2877
105	2411	3620	2941	2957
110	2482	3688	3020	3037
115	2547	3766	3089	3115
120	2594	3866	3172	3193
125	2664	3961	3256	3275
130	2758	4026	3319	3351
135	2831	4126	3410	3435
140	2910	4218	3488	3516
145	2966	4321	3573	3598
150	3009	4400	3644	3673
155	3085	4548	3727	3754
160	3148	4647	3810	3834
165	3208	4778	3899	3918
170	3277	4883	3975	3999
172	3301	4925	4010	4032
180	3414	5075	4151	4167
185	3479	5135	4237	4250
190	3548	5196	4310	4329
195	3624	5288	4390	4408
200	3711	5415	4471	4491
205	3802	5483	4563	4574
210	3861	5587	4640	4655
215	3932	5669	4730	4735
220	3975	5733	4811	4817
225	4042	5838	4893	4896
230	4099	5929	4967	4975
235	4199	6032	5034	5053
240	4257	6119	5118	5138
245	4303	6228	5211	5218
250	4383	6325	5275	5298
255	4469	6407	5354	5380
260	4535	6473	5430	5462
265	4593	6577	5510	5539
270	4674	6671	5585	5620
275	4738	6735	5678	5698
280	4821	6880	5763	5776
285	4863	6920	5841	5852
290	4947	7045	5912	5931
295	4977	7111	5994	6005
300	5039	7203	6073	6082
301	5064	7211	6087	6098
302.5	5110	7232	6110	6122
303.5	5113	7263	6122	6138
305	5127	7309	6146	6162
306	5156	7319	6158	6177
307.5	5182	7330	6179	6199
308.5	5201	7356	6194	6213
310	5234	7371	6223	6235
311.5	5260	7393	6241	6259
312.5	5284	7397	6262	6275
314	5306	7420	6286	6299
315	5319	7440	6296	6315
316	5325	7447	6313	6330
317	5344	7453	6328	6345
318	5353	7468	6352	6360
320	5355	7496	6388	6390
321	5368	7499	6403	6405
325	5429	7596	6452	6465
330	5497	7666	6530	6541
335	5575	7746	6612	6616
340	5660	7809	6682	6690
345	5701	7922	6753	6764
355	5832	8083	6888	6909
