"labID","age","error","depth"
"512715",31,266,0
"512714",120.44,266,1
"512716",209.88,266,2
"512731",299.32,266,3
"512736",388.76,266,4
"512735",729.12,266,5
"512740",818.56,266,6
"512733",908,266,7
"512738",997.44,266,8
"512743",1086.88,266,9
"512717",1176.32,266,10
"512718",1265.76,266,11
"512719",1355.2,266,12
"512720",1444.64,266,13
"512721",1534.08,266,14
"512722",1623.52,266,15
"512723",1712.96,266,16
"512724",1802.4,266,17
"512725",1891.84,266,18
"512726",1981.28,266,19
"512727",2070.72,266,20
"512728",2160.16,266,21
"512729",2249.6,266,22
"512730",2339.04,266,23
"512732",2428.48,266,24
"512734",2517.92,266,25
"512737",2590.16,266,26
"512739",2610.8,266,27
"512741",2631.43,266,28
"512742",2652.07,266,29
"512744",2672.71,266,30
"512746",2693.34,266,31
"512745",2713.98,266,32
"512747",2734.62,266,33
"512748",2755.25,266,34
"512749",2775.89,266,35
"512750",2817.17,266,37
"512751",2899.71,266,41
"512752",2982.26,266,45
"512753",3064.81,266,49
"512754",3147.36,266,53
"512755",3229.9,266,57
"512757",3312.45,266,61
"512756",3395,266,65
"512758",3624.23,266,69
"512760",3853.46,266,73
"512759",4082.69,266,77
"512761",4311.92,266,81
"512762",4541.15,266,85
"512763",4770.38,266,89
"512764",4885,266,91
"512765",4999.62,266,93
"512766",3071.54,266,96
"512767",3243.46,266,99
"512769",3472.69,266,103
"512768",3701.92,266,107
"512770",3931.15,266,111
"512771",3988.46,266,112
