depth	min	max	median	mean
15	11	420	218	214
30	182	629	421	415
45	395	851	623	627
60	602	1068	830	834
75	798	1283	1042	1042
90	1015	1497	1264	1264
105	1216	1735	1500	1492
120	1446	1990	1736	1731
135	1708	2261	1971	1972
150	1942	2502	2207	2209
165	2156	2725	2450	2448
180	2431	2962	2690	2692
195	2655	3212	2940	2938
210	2906	3462	3185	3180
225	3131	3713	3436	3437
240	3368	3947	3693	3684
255	3604	4216	3945	3939
270	3855	4440	4205	4193
285	4114	4658	4465	4447
290	4187	4741	4551	4530
292	4222	4760	4581	4563
294	4254	4791	4611	4596
296	4280	4827	4645	4628
298	4322	4860	4677	4661
300	4350	4899	4712	4694
302	4375	4920	4747	4730
304	4419	4954	4782	4766
306	4445	4990	4817	4802
308	4470	5021	4851	4837
310	4494	5068	4885	4872
312	4521	5099	4927	4909
314	4542	5136	4964	4946
315	4551	5169	4982	4965
316	4568	5187	5004	4987
318	4602	5243	5053	5032
320	4626	5315	5097	5076
322	4659	5347	5147	5123
324	4692	5401	5189	5170
326	4732	5460	5245	5222
328	4756	5507	5301	5278
330	4786	5601	5362	5334
332	4832	5641	5421	5390
334	4898	5702	5481	5446
336	4941	5756	5533	5499
338	4973	5795	5584	5549
340	5004	5859	5633	5599
342	5059	5888	5691	5655
344	5104	5938	5750	5710
345	5122	5983	5779	5738
346	5148	6000	5805	5765
348	5184	6035	5863	5818
350	5206	6101	5919	5872
352	5251	6143	5972	5925
354	5274	6214	6023	5979
356	5305	6286	6075	6033
358	5352	6318	6132	6086
360	5398	6392	6183	6140
362	5447	6427	6240	6193
364	5496	6481	6288	6247
366	5518	6534	6343	6300
368	5579	6572	6399	6353
370	5612	6649	6454	6406
372	5667	6687	6506	6460
374	5694	6750	6564	6514
375	5710	6795	6592	6541
376	5731	6807	6619	6566
378	5781	6846	6673	6617
380	5831	6908	6722	6668
382	5874	6942	6769	6715
384	5906	7004	6817	6763
386	5957	7059	6870	6814
388	6017	7101	6924	6869
390	6056	7187	6976	6924
392	6101	7217	7025	6971
394	6143	7263	7071	7018
396	6176	7303	7125	7071
398	6208	7350	7186	7129
400	6275	7425	7241	7188
402	6317	7459	7291	7238
404	6354	7517	7351	7288
405	6380	7559	7373	7314
406	6400	7578	7403	7343
408	6427	7629	7462	7401
410	6506	7721	7520	7459
412	6550	7756	7576	7516
414	6579	7822	7637	7573
416	6655	7903	7688	7629
418	6711	7958	7746	7686
420	6758	8044	7800	7743
422	6788	8106	7867	7807
435	7123	8635	8296	8235
450	7615	9258	8843	8774
465	7957	9959	9472	9397
480	8367	10602	10138	10045
495	8851	11370	10869	10757
510	9402	12183	11670	11532
525	9932	12876	12410	12258
540	10297	13493	13083	12911
555	10683	14131	13670	13489
570	10985	14689	14248	14046
585	11278	15218	14731	14509
600	11558	15631	15133	14900
