depth	min	max	median	mean
7610	7965	8903	8451	8449
7660	8675	9497	9116	9112
7710	9399	10042	9737	9729
7750	9925	10394	10171	10166
7772	10165	10571	10380	10381
7790	10362	10727	10546	10545
7810	10540	10863	10716	10711
7830	10709	11013	10862	10860
7860	10910	11195	11048	11051
7890	11085	11353	11225	11223
7905	11172	11427	11301	11302
7920	11242	11510	11376	11375
7940	11340	11595	11465	11468
7963	11444	11707	11569	11573
7980	11527	11784	11644	11648
8000	11608	11877	11733	11736
8020	11701	11971	11828	11829
8041	11785	12073	11926	11928
8060	11875	12170	12018	12020
8077	11958	12265	12103	12107
8094	12055	12359	12195	12198
8110	12141	12448	12287	12291
8125	12221	12549	12384	12382
8140	12318	12641	12476	12476
8155	12413	12753	12574	12577
8170	12522	12869	12684	12687
8185	12630	12982	12801	12801
8200	12751	13114	12920	12920
8222	12929	13308	13107	13109
8245	13121	13557	13314	13322
8270	13352	13856	13582	13586
8300	13647	14335	13945	13959
