depth	min	max	median	mean
2	105	641	394	389
10	275	740	511	512
18	416	869	645	644
26	562	1010	789	785
34	712	1151	923	924
42	846	1291	1062	1065
50	998	1426	1212	1211
58	1145	1579	1361	1361
66	1287	1723	1510	1508
74	1456	1864	1658	1658
82	1585	2017	1808	1807
90	1739	2135	1952	1946
98	1866	2267	2079	2074
106	2010	2390	2203	2204
114	2141	2505	2321	2320
122	2234	2612	2430	2428
130	2366	2709	2542	2541
134	2419	2765	2597	2594
138	2472	2812	2646	2645
142	2518	2859	2701	2697
146	2575	2908	2750	2750
150	2643	2959	2803	2801
154	2699	3013	2853	2853
158	2745	3059	2906	2904
162	2793	3119	2954	2953
170	2888	3211	3054	3052
178	2981	3309	3143	3144
186	3057	3401	3228	3231
194	3151	3477	3319	3318
202	3237	3567	3399	3401
210	3330	3648	3485	3487
218	3406	3724	3563	3568
226	3488	3815	3647	3647
234	3560	3888	3725	3725
242	3631	3970	3807	3805
250	3723	4057	3888	3887
258	3799	4142	3970	3968
266	3872	4240	4056	4055
274	3955	4316	4139	4140
282	4050	4420	4231	4233
290	4125	4535	4327	4331
298	4215	4682	4434	4439
