depth	min	max	median	mean
12	-73	71	-40	-29
22	-32	162	45	52
32	23	256	122	128
42	88	360	208	212
52	164	433	295	297
72	326	622	480	479
82	440	723	584	583
92	560	858	709	709
102	703	1027	855	857
112	865	1215	1040	1041
132	1314	1745	1533	1533
142	1638	2059	1858	1857
152	1976	2505	2233	2231
162	2389	3019	2689	2691
172	2854	3607	3214	3217
182	3387	4222	3774	3779
192	3893	4741	4333	4333
202	4321	5255	4791	4788
212	4651	5654	5135	5141
222	4853	6001	5410	5417
232	5068	6246	5626	5634
242	5241	6436	5797	5810
