depth	min	max	median	mean
1	224	715	471	470
10	428	991	697	698
20	744	1344	1051	1051
30	1174	1886	1508	1512
40	1641	2438	2049	2051
50	2247	3132	2701	2701
60	2897	3764	3334	3335
70	3500	4372	3956	3945
80	4142	4981	4552	4552
90	4733	5611	5187	5188
100	5410	6222	5850	5841
110	6028	6726	6372	6374
120	6469	7047	6763	6761
130	6769	7304	7057	7049
140	7042	7543	7302	7299
150	7297	7789	7540	7537
160	7501	7998	7761	7760
170	7732	8211	7973	7973
180	7936	8444	8180	8185
190	8178	8683	8422	8419
200	8393	8920	8648	8650
210	8610	9148	8870	8875
220	8820	9363	9096	9094
230	9056	9623	9330	9328
240	9300	9847	9542	9556
250	9500	10051	9781	9779
260	9699	10285	10000	9990
265	9779	10387	10088	10090
270	9870	10495	10188	10182
275	9955	10582	10269	10267
