depth	min	max	median	mean
0	799	1699	1302	1293
5	974	1764	1398	1396
10	1118	1902	1534	1525
15	1384	2040	1729	1724
20	1679	2339	2007	2003
25	1980	2560	2274	2277
30	2226	2752	2496	2490
35	2383	2866	2647	2641
40	2539	2978	2771	2768
45	2663	3076	2870	2869
50	2758	3185	2971	2971
55	2848	3301	3068	3068
60	2931	3416	3166	3170
65	3032	3526	3274	3276
70	3146	3665	3383	3390
75	3238	3826	3525	3529
80	3391	4041	3700	3702
85	3538	4340	3889	3904
90	3750	4647	4196	4206
95	4202	5169	4666	4673
100	4638	5720	5174	5175
105	5064	6105	5568	5572
110	5331	6299	5873	5855
120	5882	6668	6290	6284
125	6080	6807	6474	6462
130	6290	6902	6624	6613
135	6432	7007	6762	6750
140	6604	7100	6880	6870
145	6746	7179	6971	6970
150	6853	7247	7057	7054
155	6939	7318	7137	7134
160	7039	7384	7214	7213
165	7125	7446	7283	7284
170	7197	7505	7353	7354
175	7251	7572	7415	7416
180	7330	7638	7478	7480
185	7381	7705	7543	7541
190	7427	7792	7608	7607
195	7487	7875	7675	7675
200	7539	7975	7743	7746
205	7590	8075	7813	7819
