"labID","age","error","depth"
"403065",8968,708.5,300
"403066",9203,586,305
"403067",9438,469.5,310
"403068",9673,365,315
"403069",9908,301,320
"403070",10134,272.5,325
"403071",10341,301.5,330
"403072",10517,345.5,335
"403073",10652,375,340
"403074",10755,393.5,345
"403075",10841,402.5,350
"403076",10926,414,355
"403077",11026,431.5,360
"403078",11157,408.5,365
"403079",11331,391.5,370
"403080",11538,430,375
"403081",11766,504.5,380
"403082",11859,549.5,382
"403083",12000,630,385
"403084",12094,690,387
"403085",12235,787.5,390
