"labID","age","error","depth"
"17587",35,114.5,42
"17588",126,181.5,130
"17589",230,237.5,230
"17590",266,258,265
"17591",356,298,350
"17592",409,324.5,405
"17593",409,324.5,410
"17594",529,316,428
"17595",754,349.5,445
"17596",1189,258,485
"17597",1384,372.5,517
"17598",1631,424,557
"17599",2303,753,617
"17600",3005,977.5,657
"17601",3827,1049,703
"17602",4998,705,771
"17603",6022,968,831
"17604",6836,1207.5,876
"17605",7590,1243.5,916
"17606",8661,1082.5,976
"17607",9517,936.5,1016
"17608",10117,978,1035
"17609",10539,886,1050
"17610",10946,876,1065
"17611",11380,910,1085
"17612",11715,940.5,1100
"17613",12823,1290.5,1141
"17614",13485,1263,1163
"17615",14069,1098,1183
"17616",14452,802.5,1198
"17617",15143,1637,1226
"17618",15555,2500,1246
"17619",16495,4516.5,1291
"17620",18046,7834.5,1363
"17621",18841,9552,1400
