depth	min	max	median	mean
27	430	943	682	687
34	567	1042	799	800
42	716	1175	941	940
50	872	1313	1077	1084
58	1003	1460	1229	1231
66	1163	1627	1393	1396
74	1342	1779	1556	1558
82	1494	1965	1728	1727
90	1694	2125	1895	1899
98	1840	2300	2069	2071
106	2009	2486	2241	2245
114	2188	2663	2415	2421
122	2359	2822	2585	2589
130	2529	2980	2765	2759
138	2702	3177	2929	2935
146	2885	3351	3115	3112
154	3055	3518	3286	3286
162	3243	3725	3474	3472
170	3461	3905	3672	3677
178	3653	4091	3867	3870
186	3838	4257	4035	4040
194	3966	4399	4183	4187
202	4126	4533	4322	4322
210	4245	4655	4457	4456
218	4377	4801	4599	4596
226	4527	4927	4736	4732
234	4654	5076	4866	4866
242	4792	5200	5007	5003
250	4955	5319	5127	5130
258	5058	5457	5259	5258
266	5189	5554	5379	5377
274	5314	5670	5487	5490
282	5425	5790	5604	5604
290	5528	5897	5709	5711
298	5621	5995	5817	5815
306	5717	6095	5921	5919
314	5826	6199	6024	6023
322	5939	6311	6126	6126
330	6037	6414	6227	6228
338	6138	6525	6329	6331
346	6243	6627	6433	6436
354	6354	6746	6540	6545
362	6452	6868	6650	6654
364	6473	6893	6681	6684
