depth	min	max	median	mean
0.5	-69	71	-28	-19
1.5	-64	79	-18	-10
2.5	-61	93	-7	-1
3.5	-59	101	2	8
4.5	-57	114	11	16
5.5	-49	126	21	26
6.5	-40	135	31	36
7.5	-33	144	44	46
8.5	-29	154	53	56
9.5	-24	168	63	65
10.5	-16	186	74	77
11.5	-1	197	91	90
12.5	8	213	102	103
13.5	14	225	115	116
14.5	18	259	126	128
15.5	26	277	140	143
26.5	158	527	313	321
34.5	259	752	480	485
44.5	504	1074	774	772
54.5	796	1436	1105	1109
64.5	1230	1914	1559	1556
74.5	1725	2395	2070	2071
84.5	2125	2763	2443	2445
94.5	2444	3118	2779	2775
104.5	2790	3545	3161	3162
114.5	3551	4412	3994	3993
124.5	4261	4955	4612	4610
134.5	4538	5267	4903	4909
