depth	min	max	median	mean
0	-74	51	-50	-40
5	-59	204	23	37
10	-23	318	97	111
15	17	425	165	182
20	59	512	235	249
25	103	586	301	314
30	143	671	364	377
35	190	760	432	443
40	240	851	487	502
45	270	915	548	563
50	325	992	605	623
55	376	1056	666	680
60	423	1122	718	738
65	479	1185	780	796
70	527	1261	833	853
75	568	1319	889	909
80	610	1388	947	963
85	662	1452	1002	1018
90	705	1527	1061	1075
95	759	1612	1120	1135
100	806	1670	1176	1191
105	873	1716	1233	1250
110	903	1782	1297	1313
115	957	1895	1356	1375
120	1013	1978	1426	1446
125	1072	2047	1502	1517
130	1126	2126	1576	1588
135	1227	2218	1653	1669
140	1273	2330	1742	1758
145	1353	2444	1830	1850
150	1418	2652	1924	1953
155	1503	2787	2022	2061
160	1581	2939	2134	2169
165	1700	3174	2260	2299
170	1773	3329	2399	2435
175	1858	3556	2523	2572
180	1970	3893	2664	2727
185	2039	4145	2818	2869
188.5	2089	4284	2909	2973
194	2206	4432	3086	3145
199	2314	4659	3235	3303
205	2441	4949	3418	3486
210	2579	5105	3561	3624
215	2641	5345	3671	3754
220	2727	5631	3806	3885
225	2806	5763	3932	4008
230	2878	5925	4040	4121
235	2968	5996	4142	4229
240	3083	6089	4260	4329
245	3159	6209	4356	4425
250	3269	6309	4465	4518
255	3375	6406	4566	4607
260	3446	6527	4644	4689
265	3504	6553	4727	4774
270	3577	6643	4806	4859
