depth	min	max	median	mean
0	-62	239	61	70
6	-2	374	154	162
12	45	517	240	251
18	109	653	325	340
27	197	838	459	472
33	253	964	550	560
39	318	1073	635	650
45	397	1175	727	744
51	468	1301	828	837
57	534	1403	918	931
63	610	1529	1007	1024
69	688	1646	1101	1118
75	758	1765	1197	1214
81	838	1879	1288	1307
87	924	1963	1381	1402
93	992	2074	1477	1497
102	1103	2289	1623	1645
105	1142	2338	1668	1693
108	1181	2391	1719	1739
114	1227	2508	1815	1833
117	1260	2546	1854	1881
120	1314	2610	1907	1929
126	1393	2678	1992	2017
129	1409	2751	2031	2060
132	1469	2787	2075	2106
138	1542	2893	2181	2200
141	1601	2920	2232	2247
147	1703	3043	2334	2345
153	1781	3126	2425	2442
159	1858	3258	2528	2534
165	1963	3334	2611	2624
171	2042	3432	2706	2717
177	2115	3560	2802	2810
183	2213	3660	2891	2905
189	2295	3781	2986	2996
195	2363	3884	3083	3085
198	2401	3964	3126	3135
