labID,age,error,depth
129592,-1,1,1
129593,-1,0.5,2
129594,0,2,5
129595,2,3,7.5
129596,3,4,10
129597,5,6,15
129598,7,8.5,20
129599,7,8.5,20.5
129600,18,14.5,25
129601,23,20,27
129602,29,27.5,29.5
129603,30,29,30
129604,42,44,35
129605,55,59,40
129606,69,61.5,45
129607,84,64.5,50
129608,98,72,55
129609,113,83.5,60
129610,128,81.5,65
129611,144,80,70
129612,159,82.5,75
129613,174,89.5,80
129614,190,82.5,85
129615,205,75,90
129616,236,74.5,100
129617,247,70.5,103
129618,255,68.5,105
129619,275,68,110
129620,312,97,120
129621,352,105,130
129622,393,131.5,140
129623,434,136.5,150
129624,473,152.5,160
129625,514,146.5,170
129626,555,156,180
129627,575,148.5,185
129628,596,140.5,190
129629,604,139.5,192
129630,616,138.5,195
129631,637,141.5,200
129632,683,145.5,210
129633,731,177,220
129634,780,201,230
