"labID","age","error","depth"
"492990",20,266,70
"492991",40,266,80
"492998",60,266,95
"493003",373,266,115
"493004",530,266,125
"493002",686,266,135
"493001",843,266,145
"493000",921,266,150
"492999",999,266,155
"493005",1313,266,175
"492992",1391,266,180
"492993",1548,266,190
"492994",2036,266,200
"492995",2769,266,215
"492996",3013,266,220
"492997",3502,266,230
"493006",3918,266,240
"493007",4209,266,250
"493008",4251,266,260
"493009",4335,266,280
"493010",4377,266,290
"493011",4419,266,300
"493012",4797,266,390
"493013",4838,266,400
"493014",4880,266,410
"493015",4964,266,430
"493017",5006,266,440
"493016",5038,266,450
"493018",5058,266,460
"493019",5078,266,470
"493020",5119,266,490
"493021",5139,266,500
"493022",5160,266,510
"493023",5180,266,520
"493024",5224,266,530
"493025",5278,266,540
"493026",5332,266,550
"493027",5386,266,560
"493029",5439,266,570
"493028",5493,266,580
"493031",5547,266,590
"493030",5601,266,600
"493032",5655,266,610
"493034",5709,266,620
"493033",5817,266,640
"493035",5870,266,650
"493036",5924,266,660
"493037",5978,266,670
"493038",6032,266,680
"493039",6086,266,690
"493040",6140,266,700
"493041",6194,266,710
"493042",6247,266,720
"493043",6301,266,730
