"labID","age","error","depth"
"240062",291,266,3
"240063",632,266,6
"240064",974,266,9
"240065",1315,266,12
"240066",1656,266,15
"240067",1997,266,18
"240068",2338,266,21
"240069",2680,266,24
"240070",3021,266,27
"240071",3362,266,30
"240072",3703,266,33
"240073",4044,266,36
"240074",4385,266,39
"240075",4727,266,42
"240076",5068,266,45
"240077",5409,266,48
"240078",5750,266,51
"240079",6091,266,54
"240080",6433,266,57
"240081",6774,266,60
"240082",7115,266,63
"240083",7456,266,66
"240084",7797,266,69
"240085",8139,266,72
"240086",8480,266,75
"240087",8821,266,78
"240088",9162,266,81
"240089",9503,266,84
"240090",9981,266,87
"240091",10527,266,90
"240092",11073,266,93
"240093",11619,266,96
"240094",12165,266,99
"240095",12711,266,102
"240096",13257,266,105
"240097",13609,266,108
"240098",13961,266,111
"240099",14314,266,114
"240100",14480,266,117
"240101",14554,266,120
"240102",14628,266,123
"240103",14702,266,126
"240104",14776,266,129
"240105",14850,266,132
"240106",14924,266,135
"240107",14997,266,138
"240108",15071,266,141
"240109",15145,266,144
"240110",15219,266,147
"240111",15293,266,150
"240112",15367,266,153
"240113",15441,266,156
"240114",15514,266,159
"240115",15588,266,162
"240116",15662,266,165
"240117",15736,266,168
"240118",15810,266,171
"240119",15884,266,174
"240120",15958,266,177
"240121",16032,266,180
"240122",16106,266,183
"240123",16155,266,185
"240124",16229,266,188
"240125",16302,266,191
"240126",16376,266,194
"240127",16524,266,200
"240128",16672,266,206
"240129",16746,266,209
"240130",16795,266,211
"240131",16869,266,214
"240132",16943,266,217
