depth	min	max	median	mean
808	-16	365	171	171
812	18	457	230	230
816	57	552	289	290
820	106	638	346	353
824	150	714	412	420
828	219	790	476	485
832	276	870	548	551
836	333	940	618	618
840	391	1019	683	686
844	440	1111	746	754
848	489	1232	815	828
852	546	1291	897	900
856	580	1358	972	972
860	626	1448	1038	1042
864	695	1524	1115	1111
868	747	1621	1181	1180
872	796	1671	1246	1247
876	875	1744	1314	1312
880	919	1824	1373	1376
884	976	1907	1435	1438
888	1029	1996	1495	1498
892	1089	2076	1546	1559
896	1148	2134	1604	1622
900	1206	2212	1671	1682
904	1261	2278	1730	1741
908	1310	2335	1792	1797
912	1344	2407	1852	1857
916	1395	2472	1911	1916
920	1449	2524	1972	1977
924	1488	2589	2038	2039
928	1539	2648	2098	2101
932	1574	2736	2160	2163
936	1628	2807	2216	2226
940	1684	2897	2282	2289
944	1734	2972	2344	2352
948	1803	3044	2401	2415
950	1825	3070	2427	2445
952	1856	3089	2458	2474
954	1886	3126	2487	2505
956	1908	3195	2520	2536
958	1936	3228	2553	2567
960	1956	3276	2581	2598
962	1989	3315	2617	2629
964	2012	3372	2640	2659
966	2029	3424	2673	2690
968	2053	3459	2704	2721
970	2076	3502	2736	2754
972	2101	3543	2775	2788
