depth	min	max	median	mean
25	137	481	295	300
35	238	716	448	455
40	294	844	519	532
45	350	952	594	610
50	394	1058	672	686
55	461	1152	744	763
60	515	1252	819	834
65	578	1336	895	907
70	632	1416	962	981
75	678	1519	1043	1059
80	721	1593	1111	1131
85	779	1666	1189	1201
130	1322	2368	1816	1820
135	1391	2458	1887	1893
140	1447	2541	1959	1960
145	1490	2617	2016	2027
150	1558	2704	2091	2098
155	1642	2763	2162	2166
160	1699	2833	2236	2234
165	1723	2936	2306	2305
170	1783	3022	2381	2375
175	1832	3111	2450	2446
180	1910	3177	2512	2514
185	1959	3250	2573	2585
190	2029	3338	2646	2654
195	2101	3413	2715	2725
200	2167	3483	2806	2798
205	2237	3556	2881	2871
210	2272	3640	2941	2946
215	2368	3700	3017	3023
220	2438	3806	3099	3103
225	2502	3883	3165	3175
230	2554	3982	3239	3251
235	2607	4053	3316	3325
240	2700	4137	3395	3407
245	2738	4229	3487	3493
250	2831	4351	3568	3576
255	2907	4421	3661	3661
260	2963	4544	3740	3741
265	3043	4625	3822	3831
270	3120	4715	3917	3916
275	3185	4818	3994	4001
280	3267	4891	4077	4085
285	3364	5029	4158	4175
290	3432	5126	4254	4269
295	3514	5236	4347	4360
300	3569	5334	4437	4448
305	3632	5454	4532	4539
310	3756	5570	4631	4637
315	3826	5711	4719	4727
320	3908	5828	4809	4823
325	3954	5940	4909	4913
330	4055	6018	4988	5002
335	4117	6144	5073	5089
340	4188	6209	5168	5182
345	4276	6340	5251	5269
350	4350	6432	5337	5361
354	4410	6511	5411	5432
360	4513	6613	5519	5539
365	4608	6688	5604	5625
370	4685	6791	5689	5709
375	4734	6877	5770	5794
380	4822	6972	5851	5875
385	4893	7090	5940	5964
390	4974	7183	6018	6051
400	5149	7424	6186	6220
410	5286	7613	6349	6383
415	5334	7659	6420	6462
420	5407	7753	6502	6540
425	5478	7861	6575	6624
435	5636	8030	6739	6775
445	5760	8151	6893	6929
450	5821	8267	6971	7005
455	5892	8357	7040	7082
460	6002	8439	7133	7158
465	6080	8516	7204	7230
470	6130	8580	7292	7311
475	6192	8697	7358	7392
