"labID","age","error","depth"
"155678",19,76,2.5
"155679",211,318,12.5
"155680",411,445,22.5
"155681",663,554,35
"155682",862,633.5,45
"155683",1061,689,55
"155684",1259,734.5,65
"155685",1658,822.5,85
"155686",2068,879.5,105
"155687",2468,928,125
"155688",2862,940.5,145
"155689",3265,962.5,165
"155690",3667,937.5,185
"155691",4065,944.5,205
"155692",4459,921.5,225
"155693",4865,872.5,245
"155694",5267,820,265
"155695",5664,758,285
"155696",6068,652,305
"155697",6765,406.5,340
"155698",6857,372.5,345
"155699",7219,473.5,365
"155700",7577,554.5,385
"155701",7939,586,405
"155702",8297,601.5,425
"155703",8652,592,445
"155704",9005,553.5,465
"155705",9180,519,475
"155706",9357,463.5,485
"155707",9535,405.5,495
"155708",9707,357.5,505
"155709",9790,360,510
"155710",9854,360,515
"155711",9918,392,520
"155712",9985,397,525
"155713",10052,421,530
"155714",10117,419.5,535
"155715",10246,441.5,545
"155716",10371,458,555
"155717",10498,478,565
"155718",10626,489.5,575
"155719",10756,496,585
"155720",10819,516.5,590
"155721",10883,507.5,595
"155722",11013,506,605
"155723",11078,519.5,610
"155724",11143,508,615
"155725",11273,499.5,625
"155726",11338,507.5,630
"155727",11403,489,635
"155728",11468,495,640
"155729",11531,470,645
"155730",11596,467.5,650
"155731",11658,425,655
"155732",11596,467.5,660
"155733",11722,414,670
"155734",11905,547,685
"155735",12089,778,700
"155736",12237,986,712
"155737",12333,1135,720
"155738",12516,1413.5,735
