"labID","age","error","depth"
"316817",4,46,0
"316818",679,165.5,10
"316819",1363,186,20
"316820",2065,224,30
"316821",2792,290.5,40
"316822",3555,373,50
"316823",3953,415,55
"316824",4360,461.5,60
"316825",4768,554,65
"316826",5165,569,70
"316827",5538,546,75
"316828",5877,541.5,80
"316829",6172,525.5,85
"316830",6425,513,90
"316831",6641,497.5,95
"316832",6826,493.5,100
"316833",6982,559,105
"316834",7116,595,110
"316835",7232,483.5,115
"316836",7334,534.5,120
"316837",7428,519,125
"316838",7519,398.5,130
"316839",7609,465,135
"316840",7699,534,140
"316841",7789,603,145
