"labID","age","error","depth"
"268037",294,88,30
"268038",385,106,40
"268039",477,124.5,50
"268040",571,142.5,60
"268041",665,159.5,70
"268042",761,175,80
"268043",860,187.5,90
"268044",960,197.5,100
"268045",1063,204.5,110
"268046",1168,208,120
"268047",1276,208.5,130
"268048",1388,206,140
"268049",1503,200.5,150
"268050",1621,193.5,160
"268051",1633,192.5,161
"268052",1743,185,170
"268053",1755,184.5,171
"268054",1869,182,180
"268055",2001,188,190
"268056",2138,203.5,200
"268057",2283,223.5,210
"268058",2436,245.5,220
"268059",2599,269.5,230
"268060",2771,292.5,240
"268061",2881,305,246
"268062",3153,328.5,260
"268063",3363,338,270
"268064",3588,340,280
"268065",3828,333.5,290
"268066",4086,318,300
"268067",4361,292,310
"268068",4655,261,320
"268069",4963,236,330
"268070",5276,217.5,340
"268071",5584,222.5,350
"268072",5878,274,360
"268073",6148,303,370
"268074",6391,328.5,380
"268075",6589,337,389
"268076",6751,364,397
"268077",6994,413.5,410
"268078",7167,457.5,420
"268079",7334,503,430
"268080",7498,549,440
"268081",7664,595,450
"268082",7837,640.5,460
"268083",8057,688,472
"268084",8217,713,480
"268085",8433,739,490
"268086",8672,757.5,500
"268087",8939,766,510
"268088",9237,762.5,520
"268089",9572,745,530
"268090",9946,709,540
"268091",10365,654.5,550
"268092",10833,579.5,560
"268093",11354,480.5,570
"268094",11636,422,575
"268095",11934,361.5,580
"268096",12258,304,585
"268097",12536,263.5,589
"268098",12980,214,595
"268099",13370,178.5,600
"268100",13775,145.5,605
"268101",14188,122,610
"268102",15024,151,620
"268103",15862,242.5,630
"268104",16699,349,640
"268105",17536,457.5,650
"268106",18373,570,660
"268107",19210,682.5,670
"268108",20048,795,680
"268109",20466,851,685
"268110",20885,907.5,690
"268111",21303,963.5,695
"268112",21722,1019.5,700
"268113",22141,1075.5,705
"268114",22559,1131.5,710
"268115",22978,1187.5,715
"268116",23229,1221,718
"268117",25071,1466,740
