"labID","age","error","depth"
"60062",231,149,0
"60063",834,998.5,10
"60064",1675,1417,20
"60065",2445,1463.5,30
"60066",3157,1308,40
"60067",3986,302,50
"60068",4627,988.5,60
"60069",5262,1354.5,70
"60070",5883,1598.5,80
"60071",6499,1722,90
"60072",7127,1723,100
"60073",7760,1625.5,110
"60074",8339,1441.5,120
"60075",8954,1113.5,130
"60076",9548,440.5,140
"60077",9846,462.5,150
"60078",10070,525.5,160
"60079",10289,539,170
"60080",10498,527.5,180
"60081",10712,475,190
"60082",10811,409,195
"60083",10910,435.5,200
"60084",10988,464.5,205
"60085",11066,533.5,210
"60086",11143,566,215
"60087",11297,646,225
"60088",11450,711.5,235
"60089",11604,772,245
