depth	min	max	median	mean
0	-55	570	207	215
10	64	689	350	354
20	212	832	501	511
30	363	1018	667	676
50	720	1383	1031	1035
70	1069	1795	1420	1424
100	1666	2413	2054	2049
110	1881	2632	2274	2270
130	2370	3167	2774	2769
150	2910	3706	3300	3302
170	3477	4233	3854	3854
190	4005	4757	4401	4395
200	4308	5041	4678	4675
230	5078	5875	5491	5491
250	5648	6475	6051	6050
260	5927	6733	6324	6323
270	6183	6962	6575	6575
290	6684	7492	7079	7082
310	7170	7971	7551	7556
330	7630	8376	7997	7991
350	8039	8724	8386	8388
370	8439	9101	8759	8765
390	8788	9422	9111	9114
400	8970	9583	9278	9275
410	9116	9721	9424	9424
425	9330	9932	9630	9629
445	9604	10177	9901	9897
465	9873	10443	10146	10148
485	10114	10673	10391	10391
495	10233	10817	10511	10517
530	10688	11234	10954	10954
540	10800	11386	11083	11086
560	11055	11636	11344	11347
580	11311	11937	11624	11627
600	11630	12236	11931	11932
610	11766	12399	12096	12096
625	12041	12673	12369	12370
635	12250	12907	12574	12576
645	12475	13164	12816	12813
655	12739	13420	13081	13078
665	12990	13739	13378	13372
675	13340	14022	13693	13691
685	13670	14374	14008	14014
690	13820	14545	14179	14177
695	13963	14677	14326	14327
700	14118	14858	14473	14473
705	14241	14996	14600	14607
710	14330	15156	14731	14734
715	14411	15330	14851	14855
730	14736	15763	15217	15218
740	14952	16011	15438	15446
750	15139	16224	15646	15664
770	15514	16701	16063	16071
790	15826	17173	16433	16446
800	16000	17381	16624	16637
820	16299	17785	16978	16997
840	16630	18144	17343	17363
860	16959	18544	17677	17700
880	17239	18898	18022	18033
901	17529	19275	18370	18378
920	17787	19559	18683	18686
940	18111	19910	18982	19009
960	18430	20274	19311	19317
