depth	min	max	median	mean
0	1024	1850	1440	1446
25	1724	2557	2129	2133
55	7678	8539	8134	8126
75	8320	8999	8657	8655
100	8783	9348	9059	9058
120	9021	9570	9297	9296
150	9349	9850	9600	9593
180	9588	10098	9849	9850
210	9858	10341	10095	10095
240	10090	10559	10321	10323
270	10299	10792	10537	10539
285	10417	10870	10638	10642
290	10446	10909	10677	10677
360	10886	11402	11137	11140
415	11234	11772	11501	11502
455	11521	12046	11776	11777
480	11686	12235	11951	11952
505	11860	12410	12129	12131
530	12044	12604	12325	12323
555	12256	12831	12530	12531
580	12455	13100	12765	12768
600	12659	13360	12992	12995
