depth	min	max	median	mean
0	-64	128	24	26
5	-11	197	89	89
10	47	271	153	154
15	92	332	210	212
20	155	410	272	271
25	198	458	326	327
30	247	504	379	380
35	306	556	434	433
40	351	613	488	486
45	405	661	537	535
50	460	703	583	582
55	509	753	629	630
60	550	789	673	673
65	594	825	712	713
70	633	870	750	752
75	670	903	791	790
80	714	942	826	826
85	750	972	862	861
90	789	1009	896	897
95	821	1040	930	930
100	850	1068	962	963
105	872	1109	995	994
110	908	1139	1027	1027
115	947	1165	1059	1057
120	975	1199	1090	1088
125	1008	1225	1122	1120
130	1036	1260	1151	1151
135	1067	1293	1184	1183
140	1094	1324	1213	1214
145	1123	1350	1245	1243
150	1159	1387	1276	1275
155	1196	1426	1306	1308
160	1229	1455	1341	1342
165	1267	1492	1374	1373
170	1302	1519	1405	1405
175	1329	1553	1442	1442
180	1351	1596	1479	1477
185	1388	1631	1514	1512
190	1431	1663	1550	1551
195	1469	1704	1588	1589
200	1513	1735	1629	1628
205	1552	1786	1673	1671
210	1595	1831	1714	1714
215	1646	1875	1761	1759
220	1689	1933	1809	1812
225	1744	1978	1858	1859
230	1788	2031	1912	1912
235	1842	2097	1964	1965
240	1890	2155	2024	2024
245	1933	2227	2082	2085
250	1983	2308	2150	2150
255	2058	2392	2212	2214
260	2115	2467	2277	2281
265	2162	2554	2339	2347
270	2225	2648	2411	2418
275	2268	2727	2480	2487
280	2331	2843	2558	2565
