depth	min	max	median	mean
1.5	-55	305	59	74
5.2	-23	340	116	125
11.8	56	420	217	221
18.3	148	510	320	324
24.8	248	613	418	422
31.4	327	708	510	513
37.9	436	808	612	616
44.4	548	915	723	725
51	631	1039	827	831
57.5	746	1135	937	937
64.1	857	1244	1043	1048
70.6	950	1364	1149	1153
77.1	1075	1480	1274	1276
83.7	1184	1589	1389	1390
90.2	1296	1701	1496	1496
96.7	1411	1804	1607	1607
103.3	1524	1910	1714	1714
109.8	1621	2021	1831	1828
116.3	1746	2143	1945	1945
122.9	1855	2248	2055	2052
129.4	1949	2375	2162	2163
135.9	2061	2472	2272	2275
142.5	2199	2573	2382	2382
149	2293	2686	2486	2490
155.6	2400	2805	2604	2605
162.1	2512	2895	2711	2711
168.6	2626	3001	2819	2818
175.2	2743	3126	2934	2933
182.4	2862	3262	3057	3059
190.2	2972	3391	3187	3188
198.1	3127	3529	3321	3324
206	3250	3657	3451	3453
213.9	3391	3798	3601	3599
221.7	3536	3919	3731	3730
229.6	3663	4061	3865	3864
237.5	3804	4191	3999	3996
245.4	3924	4334	4135	4130
253.2	4059	4452	4262	4261
261.1	4178	4597	4391	4392
269	4315	4725	4530	4531
276.9	4451	4874	4660	4660
284.7	4572	5000	4793	4790
292.6	4720	5146	4925	4924
300.5	4845	5279	5059	5059
308.4	4980	5398	5192	5190
316.2	5104	5536	5324	5323
324.1	5259	5671	5458	5458
332	5391	5800	5595	5596
339.8	5523	5933	5724	5726
347.7	5654	6065	5856	5857
355.6	5773	6216	5988	5991
361.5	5890	6307	6083	6087
368.9	6010	6412	6208	6209
376.3	6131	6560	6341	6341
383.7	6250	6674	6463	6462
391.1	6373	6802	6574	6580
398.5	6496	6906	6697	6701
405.9	6599	7047	6834	6834
413.3	6740	7193	6968	6964
423.3	6909	7345	7124	7125
433.3	7079	7510	7290	7294
443.3	7255	7687	7461	7462
453.3	7398	7847	7627	7626
463.3	7562	8026	7803	7801
473.3	7737	8166	7975	7969
483.2	7916	8320	8131	8128
493.2	8080	8490	8294	8293
503.2	8253	8663	8455	8457
513.2	8427	8852	8627	8629
523.2	8604	9012	8799	8803
533.2	8762	9176	8971	8971
543.2	8935	9363	9142	9143
553.1	9102	9526	9302	9305
563.1	9254	9687	9467	9465
573.1	9437	9855	9637	9644
583.1	9592	10029	9815	9814
593.1	9745	10194	9978	9975
603.1	9934	10365	10138	10142
613	10091	10519	10302	10303
623	10251	10681	10471	10472
633	10425	10844	10640	10636
643	10609	11015	10806	10808
653	10779	11164	10976	10973
658.2	10869	11255	11066	11065
663.5	10961	11349	11157	11155
668.7	11053	11439	11248	11242
674	11158	11522	11337	11338
679.2	11253	11611	11420	11425
684.5	11340	11688	11506	11507
689.7	11421	11774	11588	11591
694.9	11498	11862	11676	11676
700.2	11584	11949	11773	11768
705.4	11653	12038	11855	11850
710.7	11748	12139	11945	11942
715.9	11833	12210	12029	12028
721.1	11910	12304	12117	12114
726.4	12006	12390	12200	12199
731.6	12086	12475	12287	12287
736.9	12181	12568	12373	12374
742.1	12272	12634	12460	12459
747.3	12348	12735	12544	12546
752.6	12448	12823	12635	12636
757.8	12547	12903	12722	12726
763.1	12641	12991	12811	12813
768.3	12728	13073	12900	12901
773.5	12811	13176	12989	12988
778.8	12881	13257	13073	13075
784	12978	13344	13159	13160
789.3	13067	13419	13244	13249
794.5	13152	13523	13334	13334
799.8	13245	13601	13421	13420
805	13320	13708	13509	13510
810.9	13414	13803	13615	13611
816.9	13523	13891	13709	13709
822.8	13608	13991	13805	13804
828.8	13718	14086	13900	13904
834.7	13818	14190	13997	14001
840.6	13920	14296	14098	14100
846.6	14012	14384	14190	14191
852.5	14091	14475	14290	14290
858.5	14202	14571	14391	14389
864.4	14312	14669	14491	14487
870.3	14392	14769	14579	14579
876.3	14470	14866	14671	14673
882.2	14575	14974	14767	14769
888.2	14654	15076	14855	14860
894.1	14722	15205	14943	14948
900	14795	15323	15020	15034
