"labID","age","error","depth"
"190211",-48,3.5,0
"190212",-34,2,2
"190213",-20,4,4
"190214",-6,4.5,6
"190215",6,5,8
"190216",19,8,10
"190217",44,14,12
"190218",69,28.5,14
"190219",97,39,16
"190220",128,60,18
"190221",159,88,20
"190222",193,86,22
"190223",227,102,24
"190224",263,112,26
"190225",300,121.5,28
"190226",337,145.5,30
"190227",373,139,32
"190228",410,143,34
"190229",446,140,36
"190230",500,130,39
"190231",536,116,41
"190232",572,87,43
"190233",624,67.5,46
"190234",674,95,49
"190235",706,108.5,51
"190236",736,113,53
"190237",766,129,55
"190238",795,122.5,57
"190239",824,128,59
"190240",854,127.5,61
"190241",883,120.5,63
"190242",913,126,65
"190243",941,103,67
"190244",969,84.5,69
