depth	min	max	median	mean
0	-74	15	-56	-49
10	-53	85	-3	2
30	20	206	96	100
50	97	314	196	199
60	137	369	249	248
80	231	480	350	351
93	298	551	420	419
100	327	589	453	454
110	375	656	507	508
136	500	796	653	652
160	632	950	793	793
180	755	1083	918	919
200	869	1242	1053	1056
220	1026	1414	1212	1216
240	1201	1635	1413	1412
310	2094	2615	2348	2349
330	2380	2905	2648	2649
350	2713	3237	2969	2974
370	3073	3577	3319	3322
390	3409	3958	3680	3676
410	3791	4330	4054	4051
430	4136	4687	4427	4426
450	4532	5089	4811	4810
470	4929	5506	5206	5207
490	5292	5876	5588	5590
510	5688	6248	5997	5988
530	6085	6661	6372	6373
550	6471	7075	6767	6767
570	6861	7431	7158	7155
590	7263	7808	7527	7528
610	7665	8174	7903	7908
630	8019	8548	8260	8265
650	8374	8892	8619	8619
670	8680	9195	8947	8944
690	8989	9466	9232	9232
710	9262	9706	9484	9485
730	9506	9917	9700	9699
750	9685	10080	9885	9885
770	9864	10242	10058	10059
790	10041	10401	10218	10218
810	10195	10556	10374	10375
830	10338	10719	10524	10524
850	10495	10874	10673	10673
870	10639	11026	10833	10832
890	10805	11186	10996	10993
900	10878	11284	11081	11078
920	11047	11509	11279	11277
930	11128	11659	11397	11397
