"labID","age","error","depth"
"578255",5170,372.5,570
"578256",5275,297,580
"578264",5356,253,590
"578269",5428,261,600
"578263",5556,280,620
"578265",5689,276,640
"578266",6414,239.5,750
"578274",6672,175.5,790
"578270",6710,175.5,800
"578272",6743,180,810
"578257",6810,179.5,830
"578258",6842,176,840
"578259",7006,168,890
"578260",7175,139.5,940
"578261",7340,118.5,990
"578262",7401,104.5,1040
"578267",7450,104.5,1090
"578268",7499,111.5,1140
"578271",7545,123,1190
"578273",7598,130,1240
"578275",7625,131.5,1260
