depth	min	max	median	mean
1	-73	69	-35	-26
3	-62	80	-16	-10
5	-56	99	3	7
7	-44	115	20	24
8.5	-37	123	33	37
9.5	-32	132	43	46
10.5	-28	151	54	54
11.5	-20	162	64	64
12.3	-9	166	72	72
13.3	0	173	82	83
14.3	6	190	93	93
15.3	11	206	102	104
16.3	19	221	114	115
17.3	33	225	127	127
18.3	45	236	139	139
19.3	55	254	151	151
20.3	62	277	163	164
21.3	71	293	176	177
22.3	92	305	192	193
23.3	104	320	208	209
24.3	115	336	224	225
25.3	125	361	240	241
26.3	140	383	256	259
27.3	164	397	278	280
28.3	187	415	301	301
29.3	200	450	323	322
30.3	213	482	345	343
31.3	229	512	365	364
32.3	252	527	384	384
33.3	264	549	404	404
34.3	277	588	423	424
35.3	285	624	442	444
