depth	min	max	median	mean
0	-73	126	-7	3
2.5	-57	150	22	29
5	-48	189	49	55
7.5	-14	212	78	84
10	2	257	109	114
12.5	25	280	137	141
15	41	310	166	169
17.5	74	334	193	197
20	93	370	223	224
22.5	132	394	250	253
25	154	424	278	281
27.5	187	454	313	314
30	206	500	346	346
32.5	236	526	381	380
35	256	570	417	415
37.5	309	617	457	457
40	339	680	498	500
42.5	397	720	538	545
45	427	777	585	590
47.5	493	824	648	651
50	527	917	709	712
52.5	603	961	786	783
55	636	1049	860	855
57.5	760	1094	934	929
60	805	1189	1003	1004
62.5	890	1237	1075	1074
65	940	1349	1144	1143
67.5	1029	1382	1206	1206
70	1089	1456	1268	1270
72.5	1166	1500	1332	1332
75	1202	1576	1397	1394
77.5	1278	1619	1462	1460
80	1330	1715	1525	1525
82.5	1393	1758	1584	1588
85	1440	1843	1645	1650
87.5	1541	1884	1712	1713
90	1592	1984	1775	1775
95	1694	2093	1890	1893
100	1813	2246	2009	2014
105	1929	2365	2136	2137
110	2043	2486	2256	2255
115	2136	2598	2374	2373
120	2262	2722	2488	2489
125	2364	2828	2597	2598
130	2502	2923	2710	2707
135	2591	3042	2806	2809
140	2670	3153	2893	2899
145	2754	3252	2980	2986
