"labID","age","error","depth"
"406338",17,97,10
"406339",132,90,30
"406340",189,87.5,40
"406341",247,85.5,50
"406342",304,84.5,60
"406343",362,85,70
"406344",419,85.5,80
"406345",477,86.5,90
"406346",534,88.5,100
"406347",592,91.5,110
"406348",649,94.5,120
"406349",707,98.5,130
"406350",764,103,140
"406351",822,108,150
"406352",879,113,160
"406353",937,118.5,170
"406354",994,124,180
"406355",1052,129.5,190
"406356",1109,135.5,200
"406357",1167,143.5,210
"406358",1224,157,220
"406359",1282,165.5,230
"406360",1339,173.5,240
"406361",1413,175,250
"406362",1502,170.5,260
"406363",1591,166,270
"406364",1680,160.5,280
"406365",1769,153.5,290
"406366",1858,149.5,300
"406367",1947,148,310
"406368",2036,146.5,320
"406369",2125,146,330
"406370",2214,145.5,340
"406371",2304,145.5,350
"406372",2393,146,360
"406373",2482,147.5,370
"406374",2571,148.5,380
"406375",2660,150.5,390
"406376",2927,157,420
"406377",3373,171,470
"406378",3551,178,490
"406379",4085,202.5,550
"406380",4442,221.5,590
"406381",4531,226.5,600
"406382",4798,242.5,630
"406383",4887,248,640
"406384",4976,254,650
"406385",5065,259.5,660
"406386",5106,256,670
"406387",5148,252,680
"406388",5189,248.5,690
"406389",5313,237.5,720
"406390",5354,234,730
"406391",5395,230,740
"406392",5437,226.5,750
"406393",5478,223,760
"406394",5519,219.5,770
"406395",5560,216,780
"406396",5602,212.5,790
"406397",5643,209,800
"406398",5684,205.5,810
"406399",5725,202,820
"406400",5767,199,830
"406401",5808,195.5,840
"406402",5849,192,850
"406403",5890,189,860
"406404",5932,185.5,870
"406405",5973,182.5,880
"406406",6014,179.5,890
"406407",6055,176,900
"406408",6097,173,910
"406409",6138,170,920
"406410",6179,167,930
"406411",6220,164,940
"406412",6262,161,950
"406413",6303,158,960
"406414",6344,155,970
"406415",6385,152,980
"406416",6427,149,990
"406417",6468,146.5,1000
"406418",6509,143.5,1010
"406419",6550,141,1020
"406420",6592,138,1030
"406421",6633,135.5,1040
"406422",6674,133,1050
"406423",6715,130,1060
"406424",6757,127.5,1070
"406425",6798,125,1080
"406426",6839,122.5,1090
"406427",6880,120.5,1100
"406428",6922,118,1110
"406429",6963,115.5,1120
"406430",7004,113,1130
"406431",7045,111,1140
"406432",7087,108.5,1150
"406433",7128,106,1160
"406434",7169,104,1170
"406435",7210,102,1180
"406436",7252,100,1190
"406437",7293,98,1200
"406438",7334,96.5,1210
"406439",7375,95,1220
"406440",7417,93.5,1230
"406441",7458,92.5,1240
"406442",7499,91.5,1250
"406443",7541,91,1260
"406444",7582,90,1270
"406445",7623,90,1280
"406446",7664,90,1290
"406447",7788,91,1320
"406449",7829,91.5,1330
"406451",7871,92.5,1340
"406453",7912,102.5,1350
"406455",8029,90.5,1360
"406457",8165,87,1370
"406459",8301,85,1380
"406461",8437,84.5,1390
"406463",8573,86,1400
"406465",8709,89.5,1410
"406467",8845,94.5,1420
"406469",8981,100,1430
"406471",9117,105.5,1440
"406473",9253,112,1450
"406475",9390,118.5,1460
"406477",9526,125,1470
"406479",9662,132,1480
"406481",9798,139.5,1490
"406483",9934,147.5,1500
"406485",10070,156,1510
"406487",10206,164.5,1520
"406489",10342,173.5,1530
"406491",10449,174.5,1540
"406493",10512,165,1550
"406495",10575,158.5,1560
"406497",10639,153,1570
"406499",10702,150,1580
"406500",10765,149.5,1590
"406501",10828,151,1600
"406502",10892,155,1610
"406503",10955,160,1620
"406504",11018,166,1630
"406505",11081,173.5,1640
"406506",11145,181.5,1650
"406507",11208,191,1660
"406508",11271,201,1670
"406509",11334,212.5,1680
"406510",11398,225,1690
"406511",11461,238.5,1700
"406512",12031,225,1710
"406513",12601,216.5,1720
"406514",13171,213.5,1730
"406515",13741,215,1740
"406516",14311,220.5,1750
"406517",14881,227.5,1760
"406518",15451,236.5,1770
"406519",16591,258,1790
"406520",17730,287.5,1810
"406521",18870,326.5,1830
"406522",20010,373.5,1850
"406523",20580,399,1860
