depth	min	max	median	mean
6	50	642	381	371
16	330	843	587	587
26	557	1014	801	802
36	864	1208	1044	1040
46	1061	1487	1264	1269
56	1255	1699	1467	1474
66	1439	1934	1677	1677
75	1609	2093	1859	1861
85	1853	2306	2078	2076
95	2039	2525	2293	2288
105	2295	2717	2494	2500
115	2498	2938	2716	2718
125	2696	3163	2931	2932
129	2800	3246	3019	3021
150	3235	3769	3491	3496
165	3547	4071	3815	3816
177	3833	4317	4078	4078
184	3991	4449	4230	4226
192	4196	4590	4397	4396
193	4228	4601	4418	4419
194	4252	4620	4442	4441
202	4419	4772	4602	4601
204	4459	4811	4642	4641
211	4583	5004	4771	4781
220	4740	5200	4960	4964
232	4954	5495	5206	5207
250	5315	5860	5574	5572
262	5527	6111	5817	5819
268	5661	6247	5945	5946
310	6543	7050	6814	6810
315	6640	7155	6918	6910
350	7474	7836	7662	7659
355	7600	7918	7757	7757
360	7675	8024	7842	7841
365	7726	8115	7917	7916
