depth	min	max	median	mean
1	-61	218	58	64
10	9	441	185	198
20	107	677	337	354
30	235	877	497	509
40	344	1063	645	661
50	456	1262	792	809
60	582	1419	939	955
70	682	1584	1105	1112
80	811	1763	1259	1266
90	947	1962	1404	1424
100	1051	2142	1564	1577
110	1224	2330	1716	1732
120	1347	2523	1870	1883
125	1422	2616	1953	1959
130	1475	2709	2029	2043
140	1608	2906	2195	2201
150	1746	3047	2348	2354
160	1871	3238	2506	2507
170	1997	3375	2656	2665
180	2139	3580	2817	2822
190	2268	3746	2972	2982
200	2426	3910	3130	3143
210	2585	4073	3289	3307
220	2706	4260	3455	3469
230	2863	4448	3608	3629
240	3006	4614	3788	3791
250	3140	4816	3953	3949
260	3265	4986	4096	4109
270	3411	5206	4258	4270
280	3537	5387	4420	4431
290	3714	5565	4572	4590
300	3853	5737	4748	4753
310	3980	5939	4899	4907
320	4123	6067	5060	5057
330	4254	6258	5213	5216
340	4396	6418	5360	5370
350	4533	6575	5517	5526
360	4695	6800	5668	5680
370	4827	6967	5816	5829
380	4953	7122	5965	5985
390	5110	7300	6121	6142
400	5270	7443	6269	6291
405	5324	7523	6338	6366
410	5411	7594	6418	6440
415	5457	7675	6490	6518
420	5491	7768	6576	6591
425	5557	7886	6650	6670
430	5658	7990	6740	6749
435	5711	8058	6815	6825
440	5770	8123	6901	6902
445	5844	8208	6968	6981
450	5942	8305	7051	7056
