"labID","age","error","depth"
"420882",348,486,25
"420883",704,460,50
"420884",1060,434.5,75
"420885",1416,410,100
"420886",1771,386,125
"420887",2127,363,150
"420888",2483,341,175
"420889",2839,320,200
"420890",3195,300,225
"420891",3551,280,250
"420892",3907,261.5,275
"420893",4263,244,300
"420894",4619,230.5,325
"420895",4974,222,350
"420896",5330,218,375
"420897",5686,218,400
"420898",6042,221.5,425
"420899",6398,229,450
"420900",6747,241,475
"420901",7103,257,500
"420902",7459,275.5,525
"420903",7815,295.5,550
"420904",8170,317,575
"420905",8526,339.5,600
"420906",8882,363,625
"420907",9238,387.5,650
"420908",9594,412.5,675
"420909",9950,438,700
"420910",10306,464.5,725
"420911",10662,490.5,750
"420912",11018,518,775
"420913",11373,545,800
