depth	min	max	median	mean
0	-44	498	207	205
2	8	522	249	249
12	240	733	473	475
22	460	958	710	711
32	719	1235	976	980
42	993	1527	1248	1249
52	1262	1787	1507	1507
62	1504	2100	1796	1796
72	1857	2590	2206	2209
82	2784	3769	3302	3296
92	4866	5989	5447	5444
97	6124	7023	6638	6627
102	6989	7828	7407	7404
107	7555	8384	7976	7977
112	8277	9213	8800	8792
122	10184	10928	10573	10574
132	10662	11220	10948	10947
142	10915	11410	11171	11170
152	11100	11591	11360	11358
172	11452	11955	11703	11706
189	11705	12204	11961	11964
212	12069	12523	12291	12293
232	12322	12764	12546	12547
252	12558	12981	12775	12772
272	12779	13200	12975	12978
292	12974	13406	13179	13180
312	13166	13609	13384	13384
342	13483	13916	13693	13696
357	13665	14074	13864	13864
367	13788	14206	14003	14002
377	13960	14372	14167	14170
382	14055	14473	14260	14262
387	14142	14597	14354	14359
397	14269	14840	14542	14541
