labID,age,error,depth
44269,-1,1,1
44270,22,31.5,10
44271,47,66,20
44272,89,77.5,30
44273,134,107.5,40
44274,469,357.5,50
44275,832,721.5,60
44276,1262,587.5,70
44277,1698,616.5,80
44278,1915,660,90
44279,2098,786,100
44280,2289,804,110
44281,2482,896.5,120
44282,2669,904,130
44283,2857,962.5,140
44284,3045,950,150
44285,3233,993.5,160
44286,3420,981,170
44287,3604,1018,180
44288,3793,984,190
44289,3982,1004.5,200
44290,4185,1047,210
44291,4386,1188.5,220
44292,4593,1241,230
44293,4796,1354,240
44294,4996,1406.5,250
44295,5197,1514,260
44296,5399,1555,270
44297,5600,1614.5,280
44298,5801,1648.5,290
44299,6000,1733.5,300
44300,6201,1764.5,310
44301,6399,1839.5,320
44302,6597,1874,330
44303,6797,1963.5,340
44304,6991,1990.5,350
44305,7187,2068,360
