depth	min	max	median	mean
1	-3	1	-1	-1
10	11	80	37	39
20	45	157	93	96
30	100	255	169	169
40	179	415	280	285
50	311	836	510	521
60	493	1114	780	783
70	729	1418	1048	1053
80	946	1728	1296	1307
90	1160	1952	1537	1548
100	1392	2180	1760	1773
110	1600	2404	1975	1985
120	1767	2600	2178	2182
130	1967	2836	2383	2386
140	2169	3034	2595	2595
150	2348	3219	2784	2786
160	2500	3446	2963	2973
170	2711	3646	3154	3159
180	2864	3829	3327	3339
190	3061	4030	3514	3521
200	3236	4202	3710	3706
210	3384	4392	3880	3884
220	3557	4599	4063	4063
230	3736	4759	4228	4236
240	3893	4947	4399	4411
250	4060	5130	4570	4582
260	4225	5314	4742	4752
270	4373	5507	4901	4916
280	4517	5682	5073	5081
290	4652	5853	5267	5251
300	4785	6054	5421	5412
310	4939	6239	5581	5574
320	5094	6403	5742	5739
330	5242	6572	5888	5899
340	5359	6737	6042	6052
350	5509	6939	6197	6206
360	5617	7117	6351	6363
