depth	min	max	median	mean
220	714	1225	996	989
240	994	1426	1210	1210
261	1202	1604	1412	1408
281	1402	1754	1589	1585
285	1436	1782	1626	1618
295	1521	1849	1700	1695
310	1640	1960	1813	1808
330	1790	2099	1956	1953
338	1857	2157	2013	2010
348	1935	2225	2084	2083
360	2025	2321	2171	2170
365	2062	2353	2205	2206
370	2104	2387	2240	2240
380	2171	2453	2311	2314
390	2243	2529	2390	2389
394	2276	2553	2416	2416
399	2315	2591	2451	2452
404	2351	2623	2486	2488
408	2381	2649	2515	2517
412	2411	2684	2544	2546
420	2466	2759	2603	2607
430	2537	2849	2687	2688
440	2610	2930	2764	2767
458	2748	3086	2915	2914
470	2845	3182	3017	3014
490	2998	3362	3182	3182
502	3103	3458	3280	3282
530	3361	3710	3528	3532
546	3507	3848	3678	3678
549	3539	3874	3705	3706
560	3627	3978	3806	3809
570	3727	4101	3907	3906
590	3910	4302	4100	4105
610	4113	4513	4305	4309
630	4329	4733	4516	4520
646	4487	4895	4693	4695
670	4739	5172	4965	4961
690	4978	5399	5191	5191
705	5149	5577	5369	5367
720	5329	5762	5545	5546
740	5573	6006	5794	5790
760	5814	6277	6041	6042
780	6055	6547	6307	6304
810	6472	6947	6700	6708
820	6608	7095	6843	6847
830	6735	7248	6981	6986
840	6852	7425	7129	7133
