depth	min	max	median	mean
0.5	-60	-41	-51	-51
8.5	-40	40	-9	-7
16.5	-7	90	35	37
24.5	27	142	84	84
32.5	100	206	152	152
40.5	165	446	277	285
48.5	278	682	452	460
56.5	414	899	631	636
64.5	563	1114	825	829
72.5	757	1310	1024	1027
80.5	922	1541	1227	1226
88.5	1140	1748	1417	1425
96.5	1319	1928	1632	1627
104.5	1512	2115	1827	1819
112.5	1744	2239	2009	2006
120.5	1982	2373	2192	2188
128.5	2116	2556	2341	2337
136.5	2245	2712	2481	2483
144.5	2369	2884	2629	2632
152.5	2517	3032	2778	2775
160.5	2670	3191	2912	2916
168.5	2789	3308	3049	3052
176.5	2890	3421	3185	3179
184.5	3037	3551	3312	3303
192.5	3178	3681	3444	3436
200.5	3300	3795	3560	3556
208.5	3442	3907	3678	3678
216.5	3596	3999	3800	3800
224.5	3727	4094	3910	3909
232.5	3839	4183	4003	4007
240.5	3926	4272	4098	4099
248.5	4010	4358	4183	4182
256.5	4091	4433	4266	4262
264.5	4169	4511	4341	4341
272.5	4246	4593	4414	4417
280.5	4313	4673	4487	4490
288.5	4386	4747	4558	4562
296.5	4454	4812	4635	4636
304.5	4522	4893	4703	4706
312.5	4589	4958	4777	4779
320.5	4663	5038	4851	4850
328.5	4724	5103	4923	4920
336.5	4805	5176	4993	4993
344.5	4888	5246	5068	5067
352.5	4960	5315	5140	5140
360.5	5032	5390	5208	5208
368.5	5101	5453	5283	5281
376.5	5178	5521	5353	5349
384.5	5252	5581	5419	5419
392.5	5324	5643	5490	5489
400.5	5398	5703	5561	5558
408.5	5478	5752	5627	5625
416.5	5543	5815	5691	5688
424.5	5625	5875	5755	5755
432.5	5696	5935	5821	5820
440.5	5776	5994	5885	5883
448.5	5837	6042	5941	5940
456.5	5896	6093	5996	5998
464.5	5947	6160	6052	6053
472.5	6008	6210	6108	6109
480.5	6065	6264	6161	6164
488.5	6119	6322	6217	6218
496.5	6175	6384	6272	6274
504.5	6226	6454	6340	6340
512.5	6294	6533	6410	6412
520.5	6356	6632	6489	6489
528.5	6429	6716	6571	6572
536.5	6494	6795	6648	6648
544.5	6578	6882	6730	6730
552.5	6654	6969	6811	6812
560.5	6741	7055	6899	6898
568.5	6832	7150	6985	6985
576.5	6924	7232	7073	7074
584.5	7016	7334	7169	7169
592.5	7102	7424	7260	7261
600.5	7181	7543	7353	7357
608.5	7274	7673	7462	7463
616.5	7363	7778	7559	7565
624.5	7449	7931	7666	7674
632.5	7551	8048	7770	7781
640.5	7640	8178	7878	7889
648.5	7763	8282	7985	7994
656.5	7860	8384	8098	8104
664.5	7953	8509	8211	8215
672.5	8066	8614	8319	8323
680.5	8159	8732	8421	8428
688.5	8247	8831	8538	8537
696.5	8354	8947	8646	8644
704.5	8456	9054	8756	8756
712.5	8555	9182	8867	8865
720.5	8662	9282	8976	8976
728.5	8777	9380	9078	9078
736.5	8905	9495	9191	9191
744.5	9024	9612	9308	9304
750.5	9098	9706	9385	9386
756.5	9184	9777	9466	9467
762.5	9269	9839	9545	9549
768.5	9348	9925	9627	9629
774.5	9423	9991	9707	9709
780.5	9519	10070	9792	9795
786.5	9591	10152	9873	9874
792.5	9680	10245	9959	9959
798.5	9772	10309	10045	10045
804.5	9857	10404	10126	10127
810.5	9950	10468	10208	10205
816.5	10033	10544	10288	10288
822.5	10118	10632	10371	10371
828.5	10199	10709	10449	10453
834.5	10276	10786	10535	10537
840.5	10374	10868	10627	10625
846.5	10480	10964	10717	10714
852.5	10582	11037	10795	10800
858.5	10676	11119	10885	10887
864.5	10761	11205	10974	10977
870.5	10859	11315	11068	11071
876.5	10956	11396	11168	11169
882.5	11056	11488	11274	11274
888.5	11165	11610	11379	11383
894.5	11247	11736	11489	11492
900.5	11374	11852	11598	11601
908.5	11489	12020	11747	11752
912.5	11590	12085	11830	11838
918.5	11705	12254	11966	11973
924.5	11856	12421	12120	12127
928.5	11962	12534	12253	12254
930.5	12021	12655	12319	12328
942.5	12488	13450	12957	12964
948.5	12787	13732	13276	13268
954.5	13061	13990	13567	13556
968.5	13866	14395	14157	14149
972.5	14010	14489	14263	14255
978.5	14145	14604	14375	14374
984.5	14259	14691	14477	14473
990.5	14368	14780	14562	14562
996.5	14441	14838	14641	14645
1002.5	14529	14914	14721	14722
1008.5	14609	14983	14792	14794
1014.5	14681	15074	14866	14868
1020.5	14751	15146	14940	14944
1026.5	14817	15218	15012	15014
1032.5	14883	15294	15089	15086
1044.5	15023	15451	15224	15229
1048.5	15071	15498	15278	15279
1050.5	15093	15533	15302	15306
1056.5	15166	15642	15385	15394
