"labID","age","error","depth"
"235099",177,258.5,1
"235100",205,250,5
"235101",241,241,10
"235102",277,234,15
"235103",313,228.5,20
"235104",350,224.5,25
"235105",369,223,27.5
"235106",388,221.5,30
"235107",408,221,32.5
"235108",428,220,35
"235109",468,220,40
"235110",510,220.5,45
"235111",555,222,50
"235112",600,225,55
"235113",649,229.5,60
"235114",699,236,65
"235115",752,244,70
"235116",808,253,75
"235117",867,263,80
"235118",929,272.5,85
"235119",994,282,90
"235120",1063,291,95
"235121",1136,299.5,100
"235122",1212,308,105
"235123",1293,316,110
"235124",1378,323.5,115
"235125",1467,330.5,120
"235126",1562,337,125
"235127",1660,343.5,130
"235128",1763,349,135
"235129",1870,354,140
"235130",1981,358.5,145
"235131",2095,363,150
"235132",2213,367,155
"235133",2335,370.5,160
"235134",2460,374,165
"235135",2588,377,170
"235136",2719,380.5,175
"235137",2853,383,180
"235138",2990,385.5,185
"235139",3129,388.5,190
"235140",3271,391.5,195
"235141",3415,394.5,200
"235142",3560,397,205
"235143",3708,400.5,210
"235144",3858,404,215
"235145",4009,407,220
"235146",4161,410,225
"235147",4315,413,230
"235148",4470,416,235
"235149",4626,418,240
"235150",4783,420.5,245
"235151",4940,423,250
"235152",5098,425.5,255
"235153",5256,428,260
"235154",5414,430,265
"235155",5573,432,270
"235156",5731,433.5,275
"235157",5889,435.5,280
"235158",6047,436.5,285
"235159",6204,437.5,290
"235160",6360,438.5,295
"235161",6515,439.5,300
"235162",6669,439.5,305
"235163",6822,438.5,310
"235164",6974,438,315
"235165",7124,435.5,320
"235166",7272,433,325
"235167",7419,429.5,330
"235168",7563,425,335
"235169",7706,420,340
"235170",7846,413.5,345
"235171",7983,406.5,350
"235172",8118,398,355
"235173",8250,389,360
"235174",8380,378.5,365
"235175",8506,367,370
"235176",8629,357.5,375
"235177",8748,341.5,380
"235216",8864,324.5,385
"235215",8976,308,390
"235214",9084,291.5,395
"235213",9189,275.5,400
"235212",9289,280,405
"235211",9384,268,410
"235210",9475,240,415
"235209",9563,251.5,420
"235208",9647,252,425
"235207",9730,257,430
"235206",9812,248,435
"235205",9894,255.5,440
"235204",9979,266.5,445
"235203",10066,280,450
"235202",10157,294,455
"235201",10254,308,460
"235200",10357,321,465
"235199",10467,331.5,470
"235198",10586,338.5,475
"235197",10715,340.5,480
"235196",10855,337,485
"235195",11007,328,490
"235194",11172,313.5,495
"235193",11352,293,500
"235178",11547,268,505
"235179",11650,255.5,507.5
"235180",11758,243.5,510
"235181",11869,233,512.5
"235182",11984,223.5,515
"235183",12221,208,520
"235184",12466,203,525
"235185",12716,204,530
"235186",12969,212.5,535
"235187",13096,220.5,537.5
"235188",13223,232,540
"235189",13351,246.5,542.5
"235190",13479,262,545
"235191",13607,278.5,547.5
"235192",13735,296,550
