depth	min	max	median	mean
10	-74	15	-50	-44
20	-49	85	8	11
30	-4	147	61	64
40	40	212	117	119
50	88	268	174	175
60	136	323	230	232
70	196	384	286	287
80	251	439	343	344
90	311	496	397	401
100	369	559	459	460
110	427	624	523	523
120	482	706	595	596
130	544	798	671	669
140	622	883	742	743
150	681	955	819	819
160	759	1035	896	895
170	847	1104	971	970
180	920	1165	1048	1046
190	1005	1228	1119	1120
200	1088	1296	1198	1195
210	1171	1367	1269	1271
220	1240	1448	1341	1341
230	1310	1513	1417	1416
240	1383	1594	1490	1491
250	1463	1689	1575	1574
260	1534	1783	1656	1658
270	1624	1881	1747	1750
280	1710	1973	1837	1836
290	1800	2051	1926	1927
300	1890	2165	2029	2029
340	2263	2778	2500	2508
360	2493	3057	2757	2765
380	2720	3364	3035	3044
400	2997	3679	3333	3332
420	3296	3971	3639	3638
440	3556	4286	3938	3936
460	3882	4577	4253	4248
480	4216	4852	4565	4560
500	4587	5119	4863	4858
520	4872	5438	5165	5159
540	5170	5758	5474	5470
560	5469	6052	5769	5766
580	5808	6340	6065	6067
600	6119	6598	6351	6355
620	6422	6949	6665	6672
640	6711	7291	6978	6983
660	6996	7564	7293	7287
680	7336	7816	7593	7588
700	7715	8044	7885	7882
720	7934	8228	8077	8079
740	8075	8403	8238	8237
760	8224	8592	8397	8399
780	8362	8777	8564	8565
800	8545	8966	8746	8748
820	8708	9175	8947	8945
840	8900	9415	9159	9160
860	9119	9644	9387	9385
880	9346	9881	9618	9613
900	9588	10087	9842	9843
920	9825	10311	10055	10058
940	10035	10517	10256	10265
960	10211	10719	10464	10466
980	10425	10916	10666	10666
1000	10622	11106	10867	10864
1020	10814	11294	11067	11062
1040	11036	11543	11290	11285
1060	11265	11879	11551	11549
