"labID","age","error","depth"
"237092",-40,266,0
"237093",388,266,10
"237094",816,266,20
"237095",1244,266,30
"237096",1672,266,40
"237097",2099,266,50
"237098",2527,266,60
"237099",2955,266,70
"237100",3383,266,80
"237101",3811,266,90
"237102",4239,266,100
"237103",4667,266,110
"237104",4903,266,120
"237105",5057,266,130
"237106",5211,266,140
"237107",5365,266,150
"237108",5519,266,160
"237109",5673,266,170
"237110",5827,266,180
"237111",5981,266,190
"237112",6135,266,200
"237113",6289,266,210
"237114",6443,266,220
"237115",6774,266,230
"237116",7104,266,240
"237117",7435,266,250
"237118",7765,266,260
"237119",7931,266,265
"237120",8096,266,270
"237121",8427,266,280
"237122",8757,266,290
"237123",9088,266,300
"237124",9419,266,310
"237125",9584,266,315
"237126",9833,266,320
"237127",10581,266,330
"237128",11329,266,340
"237129",12077,266,350
"237130",12825,266,360
"237131",13574,266,370
"237132",14322,266,380
"237133",14696,266,385
"237134",15070,266,390
"237135",15444,266,395
"237136",15818,266,400
"237137",16192,266,405
"237138",16566,266,410
