depth	min	max	median	mean
2	-73	10	-49	-45
5	-63	22	-31	-29
10	-44	51	-2	-1
15	-23	82	25	26
20	2	104	51	51
25	25	132	77	77
30	50	157	104	103
35	77	193	132	133
40	102	231	167	167
50	165	350	250	253
60	239	450	344	345
70	329	575	443	445
80	409	688	543	543
89	487	782	633	634
110	687	1017	855	855
120	803	1132	962	962
130	912	1266	1079	1080
140	1006	1402	1202	1201
150	1119	1535	1332	1331
160	1238	1683	1466	1464
170	1398	1824	1602	1609
180	1544	1976	1747	1750
190	1669	2110	1884	1889
200	1800	2241	2025	2024
210	1941	2381	2158	2161
220	2074	2506	2290	2293
230	2223	2643	2429	2430
240	2374	2762	2566	2566
250	2511	2881	2700	2698
260	2635	3006	2828	2824
270	2773	3131	2951	2950
280	2888	3248	3072	3069
290	2998	3360	3178	3181
300	3117	3481	3301	3298
310	3232	3611	3413	3416
320	3349	3751	3542	3542
330	3470	3890	3670	3674
340	3586	4067	3818	3818
350	3718	4253	3973	3976
360	3881	4419	4140	4144
410	4677	5297	4968	4975
420	4850	5432	5128	5133
430	5023	5569	5297	5298
440	5213	5701	5453	5453
450	5362	5816	5601	5601
460	5522	5944	5748	5742
470	5658	6061	5878	5871
480	5775	6186	5994	5993
500	6014	6422	6217	6216
510	6131	6537	6330	6327
520	6235	6638	6431	6433
530	6342	6740	6535	6539
540	6449	6832	6638	6642
550	6550	6941	6746	6746
560	6668	7030	6847	6845
570	6765	7128	6946	6944
580	6866	7228	7045	7044
600	7054	7430	7238	7237
610	7153	7526	7336	7334
620	7246	7625	7431	7428
630	7343	7719	7524	7523
650	7522	7921	7713	7713
660	7627	8002	7809	7808
680	7804	8206	8003	8002
690	7909	8306	8099	8097
700	8011	8403	8195	8196
710	8108	8502	8291	8293
720	8206	8592	8388	8391
730	8300	8703	8490	8492
740	8408	8803	8598	8596
750	8508	8897	8697	8696
760	8597	9011	8802	8801
770	8694	9128	8910	8909
780	8801	9239	9021	9022
790	8909	9366	9134	9138
800	9015	9477	9248	9253
810	9125	9593	9364	9367
820	9236	9727	9485	9486
830	9341	9849	9607	9605
840	9455	9988	9727	9728
850	9564	10118	9850	9851
860	9684	10250	9982	9979
870	9806	10397	10112	10107
880	9935	10528	10238	10233
890	10055	10661	10367	10360
900	10166	10814	10500	10494
910	10300	10944	10632	10627
920	10438	11067	10764	10762
930	10578	11245	10913	10911
940	10721	11402	11064	11065
950	10862	11565	11223	11218
960	11013	11732	11381	11380
970	11149	11906	11543	11537
990	11478	12274	11869	11870
1000	11646	12420	12037	12033
1010	11817	12612	12206	12205
1020	11963	12812	12378	12374
1030	12108	12994	12543	12547
1040	12293	13140	12723	12721
1050	12443	13314	12892	12891
1060	12612	13489	13058	13057
1070	12744	13662	13229	13222
1090	13045	14030	13548	13553
1100	13208	14232	13718	13721
1110	13348	14436	13885	13885
1120	13474	14602	14056	14045
1130	13622	14760	14218	14200
1140	13753	14922	14369	14361
1150	13894	15125	14521	14515
1160	14044	15321	14675	14675
