depth	min	max	median	mean
100	3159	3796	3500	3499
110	3362	3958	3678	3668
115	3466	4056	3784	3779
120	3657	4153	3920	3914
122	3784	4213	4016	4007
125	3885	4416	4144	4146
127	4035	4508	4267	4268
130	4133	4779	4447	4452
132	4321	4864	4590	4592
135	4467	5135	4807	4802
137	4707	5254	4982	4983
140	4888	5674	5245	5253
142	5101	5793	5452	5450
145	5251	6203	5761	5746
147	5567	6309	5947	5944
150	5799	6654	6239	6241
152	6121	6754	6437	6437
155	6346	7081	6728	6730
157	6617	7181	6893	6892
160	6741	7543	7135	7135
162	6936	7622	7260	7263
165	7071	7894	7436	7454
167	7167	7941	7529	7536
170	7238	8115	7653	7660
175	7367	8310	7825	7833
180	7475	8470	7964	7970
190	7690	8794	8200	8213
200	7844	9013	8394	8401
210	7991	9216	8575	8582
