"labID","age","error","depth"
"530662",2580,69,5
"530666",2600,66.5,7
"530667",2620,62.5,9
"530669",2640,58,11
"530668",2660,54.5,13
"530663",2681,53,15
"530665",2702,53,17
"530692",2722,50.5,19
"530691",2733,50,20
"530670",2743,48.5,21
"530671",2753,48.5,22
"530672",2763,47,23
"530673",2774,45,24
"530674",2784,42,25
"530675",2794,43,26
"530676",2803,44,27
"530677",2813,44.5,28
"530678",2822,46.5,29
"530682",2831,48.5,30
"530679",2849,51.5,32
"530684",2867,52.5,34
"530685",2885,53.5,36
"530687",2904,56.5,38
"530688",2924,61,40
"530690",2955,68,43
"530689",2965,70,44
