depth	min	max	median	mean
4	899	1551	1235	1232
12	1157	1697	1430	1427
16	1298	1792	1559	1553
20	1429	1966	1698	1696
24	1554	2115	1832	1834
28	1708	2258	1987	1983
32	1885	2513	2191	2196
40	2536	3344	2960	2956
42	3001	3627	3338	3330
44	3211	4102	3715	3704
46	3699	4314	4037	4031
48	4058	4658	4360	4359
50	4297	4891	4599	4602
52	4495	5012	4762	4762
54	4624	5222	4927	4922
56	4843	5300	5067	5068
58	4960	5463	5218	5215
60	5109	5609	5352	5352
62	5249	5692	5483	5482
64	5328	5869	5618	5612
66	5494	5927	5715	5715
68	5559	6040	5823	5818
72	5769	6228	5994	5994
76	5941	6376	6148	6149
78	5992	6448	6225	6222
82	6121	6575	6351	6352
88	6330	6775	6539	6538
92	6435	6883	6656	6655
98	6603	7054	6834	6826
102	6707	7159	6940	6933
112	6939	7389	7187	7183
117.5	7082	7520	7308	7306
122	7189	7599	7400	7395
128	7300	7709	7503	7502
138	7445	7873	7664	7664
148	7612	8015	7805	7809
150	7641	8039	7836	7837
164	7792	8265	8025	8027
166	7827	8289	8051	8054
