depth	min	max	median	mean
0	56	703	370	374
10	285	885	579	579
20	532	1137	850	846
30	834	1485	1166	1165
40	1187	1888	1514	1521
60	1905	2607	2262	2258
80	2591	3307	2943	2941
100	3236	3866	3557	3552
120	3754	4316	4027	4026
140	4123	4688	4402	4406
160	4471	5038	4752	4757
180	4830	5316	5075	5075
200	5143	5647	5393	5390
220	5435	5953	5693	5689
240	5742	6233	5982	5984
260	6035	6527	6279	6280
280	6311	6806	6562	6565
300	6598	7079	6837	6837
320	6841	7323	7098	7096
340	7115	7566	7346	7348
360	7359	7819	7585	7587
380	7587	8048	7820	7820
400	7809	8271	8046	8046
420	8055	8496	8270	8272
440	8279	8738	8494	8495
460	8502	8951	8715	8719
480	8739	9156	8939	8941
500	8960	9373	9160	9163
520	9191	9584	9388	9388
530	9303	9688	9497	9496
540	9413	9798	9618	9612
550	9536	9928	9736	9736
560	9667	10047	9851	9852
570	9790	10177	9981	9979
580	9912	10308	10109	10109
590	10051	10468	10250	10252
600	10182	10643	10401	10403
610	10353	10830	10573	10577
620	10544	11063	10787	10790
630	10769	11333	11027	11037
640	11025	11597	11308	11311
650	11333	11932	11626	11630
660	11663	12241	11958	11952
670	11979	12608	12272	12277
680	12318	12938	12609	12614
690	12650	13258	12956	12953
700	12962	13577	13279	13277
710	13347	13965	13630	13635
720	13666	14275	13979	13975
730	13994	14621	14308	14307
740	14357	14926	14658	14652
745	14536	15088	14823	14819
750	14728	15235	14991	14993
755	14903	15425	15176	15169
760	15070	15608	15322	15327
765	15243	15772	15501	15502
770	15413	15924	15661	15666
775	15572	16113	15838	15837
780	15712	16274	16002	15996
790	16023	16619	16333	16333
800	16355	16961	16658	16662
810	16676	17263	16967	16971
820	16986	17550	17252	17257
830	17205	17786	17489	17495
840	17404	18022	17691	17696
