depth	min	max	median	mean
15	1161	2296	1758	1744
30	1503	2548	2041	2025
35	1629	2631	2147	2131
40	1732	2719	2270	2253
45	1890	2839	2405	2397
50	2078	3014	2572	2560
55	2253	3204	2736	2734
60	2460	3419	2944	2944
65	2691	3724	3189	3199
70	2912	4078	3501	3506
80	3548	5009	4251	4257
90	4302	5772	5007	5023
100	5073	6493	5790	5795
110	5917	7190	6605	6597
115	6439	7539	6996	6987
120	6766	7845	7344	7332
125	7158	8166	7684	7678
130	7503	8484	8006	8003
135	7830	8752	8324	8312
140	8201	9069	8634	8634
145	8459	9301	8889	8882
150	8753	9501	9159	9146
155	8948	9720	9356	9351
160	9175	9899	9545	9546
165	9389	10075	9720	9726
170	9535	10219	9875	9873
175	9654	10373	9991	9995
180	9739	10506	10095	10105
185	9804	10616	10178	10193
