depth	min	max	median	mean
1	541	930	763	758
5	583	967	814	809
9	674	1008	870	862
13	764	1042	919	916
17	833	1090	967	967
21	877	1130	1009	1011
25	931	1160	1049	1051
33	1023	1228	1127	1127
37	1071	1260	1165	1165
41	1110	1306	1207	1206
45	1166	1347	1251	1252
49	1209	1378	1297	1297
53	1261	1420	1344	1344
57	1313	1480	1396	1396
61	1361	1544	1455	1454
65	1435	1613	1527	1525
69	1507	1697	1602	1601
73	1588	1781	1691	1690
77	1666	1897	1791	1790
81	1754	2010	1900	1894
85	1890	2120	2013	2011
89	2005	2236	2133	2129
93	2110	2363	2252	2250
97	2229	2513	2384	2380
101	2338	2682	2547	2540
105	2474	2809	2674	2666
109	2692	2955	2837	2832
113	2845	3113	2994	2990
117	2989	3265	3134	3132
121	3105	3447	3299	3295
125	3308	3560	3459	3452
127	3375	3633	3520	3514
128	3402	3647	3543	3538
129	3417	3675	3567	3561
130	3439	3719	3590	3585
