depth	min	max	median	mean
1	-45	-24	-34	-34
2	-38	-21	-29	-29
4	-31	-7	-19	-19
6	-27	10	-9	-9
8	-14	19	3	3
10	-7	37	16	15
12	5	51	28	29
14	17	67	43	42
16	24	93	56	56
18	42	101	71	72
20	53	124	87	87
21	57	137	94	95
22	68	144	104	104
23	74	151	114	114
24	80	164	124	123
26	85	204	142	142
28	108	217	161	161
30	121	243	180	181
32	142	271	201	202
34	162	292	223	225
36	173	332	244	247
38	204	342	269	271
40	221	367	294	294
42	240	399	317	317
44	260	419	341	340
46	272	458	362	363
48	305	476	388	388
50	323	501	416	414
52	349	528	438	438
54	382	541	461	460
56	393	575	483	482
58	423	588	507	506
60	444	613	530	530
62	472	637	554	555
64	506	659	581	580
66	517	689	606	605
68	556	708	630	631
70	577	735	654	656
72	603	762	680	682
74	627	787	708	707
76	642	825	733	732
78	675	850	759	758
80	698	877	783	785
82	722	913	808	812
84	742	948	836	839
86	754	1001	861	866
