labID,age,error,depth
275000,-43,0.5,0
275001,-42,1,1
275002,-39,0.5,3
275003,-35,1,5
275004,-33,1,7
275005,-30,1,9
275006,-27,1,11
275007,-25,1,13
275008,-22,1,15
275009,-20,1,17
275010,-17,1,19
275011,-14,0.5,21
275012,-13,0.5,22
275013,-11,1,23
275014,-10,1,24
275015,-8,1,25
275016,-4,1,27
275017,0,1,29
275018,5,1.5,31
275019,10,1.5,33
275020,15,1.5,35
275021,20,1.5,37
275022,25,1.5,39
275023,30,1.5,41
275024,35,1.5,43
275025,41,2,45
275026,47,2.5,47
275027,54,3.5,49
275028,60,5,51
275029,65,5.5,53
275030,69,4.5,55
275031,74,3,57
275032,84,4,59
275033,101,7.5,61
275034,125,11.5,63
275035,155,15.5,65
275036,190,20,67
275037,231,24.5,69
275038,276,29.5,71
275039,325,35.5,73
275040,378,41.5,75
275041,433,48,77
275042,491,54.5,79
275043,550,60.5,81
275044,610,66,83
275045,671,71.5,85
275046,732,77,87
275047,791,81.5,89
275048,850,88.5,91
275049,906,92,93
275050,960,90.5,95
275051,1011,91.5,97
275052,1058,91.5,99
275053,1102,91,101
275054,1199,88.5,106
275055,1292,86,112
275056,1345,84.5,116
275057,1391,85,120
275058,1432,86.5,124
275059,1472,90,128
275060,1510,99.5,132
275061,1550,112,136
275062,1594,124,140
275063,1644,133.5,144
275064,1704,145,148
275065,1775,165.5,152
275066,1861,213.5,156
275067,1964,217,160
275068,2087,277.5,164
275069,2241,354,168
275070,2448,421,172
275071,2902,502,178
275072,3329,550,182
275073,3816,593,186
275074,4263,605.5,190
275075,4621,601.5,194
275076,4901,582,198
275077,5116,533,202
275078,5277,460.5,206
275079,5396,380,210
275080,5485,303,214
275081,5557,242.5,218
275082,5618,212.5,222
275083,5670,200.5,226
275084,5716,198.5,230
275085,5756,199.5,234
275086,5794,199,238
275087,5830,193,242
275088,5868,184,246
275089,5907,173,250
275090,5952,161.5,254
275091,6002,151,258
275092,6061,142.5,262
275093,6128,137,266
275094,6531,123.5,286
275095,6615,122,290
275096,6697,122,294
275097,6778,124.5,298
275098,6861,126.5,302
275099,6945,129.5,306
275100,7032,130.5,310
275101,7124,131,314
275102,7221,130.5,318
275103,7324,133,322
275104,7431,136.5,326
275105,7539,142.5,330
275106,7645,150,334
275107,7746,160,338
275108,7839,158.5,342
275109,7921,156.5,346
275110,7991,149.5,350
275111,8047,136.5,354
275112,8098,123.5,358
275113,8158,118.5,362
275114,8238,138.5,366
275115,8350,164,370
275116,8465,197.5,373
275117,8617,237,376
275118,8903,296.5,380
275119,9297,339.5,384
275120,9766,355.5,388
275121,10262,350.5,392
275122,10744,330.5,396
275123,11203,310.5,400
275124,11634,298,404
275125,12037,293,408
275126,12412,295.5,412
275127,12757,297.5,416
275128,13073,302.5,420
275129,13359,307,424
275130,13614,311,428
275131,13838,315,432
275132,14034,322.5,436
275133,14206,332.5,440
275134,14357,343,444
275135,14493,356.5,448
275136,14618,382.5,452
275137,14736,419,456
275138,14852,467,460
275139,14968,527,464
275140,15084,594,468
275141,15200,667.5,472
