depth	min	max	median	mean
265	2262	2811	2558	2550
270	2400	2872	2636	2635
275	2465	2925	2714	2711
280	2564	2994	2804	2798
285	2683	3082	2886	2884
290	2792	3158	2989	2981
295	2893	3246	3072	3069
300	2963	3333	3168	3163
305	3084	3437	3259	3258
310	3162	3514	3343	3342
315	3277	3620	3444	3445
320	3363	3711	3544	3543
325	3438	3813	3639	3635
330	3552	3917	3735	3735
335	3650	4044	3850	3848
340	3745	4152	3954	3952
345	3853	4294	4068	4069
350	3971	4437	4207	4203
355	4100	4603	4336	4339
360	4277	4746	4504	4508
365	4472	4960	4722	4722
370	4638	5140	4901	4900
375	4789	5283	5058	5050
380	4943	5401	5176	5176
385	5080	5498	5294	5294
390	5192	5603	5408	5406
395	5302	5737	5513	5516
400	5401	5826	5618	5613
405	5483	5943	5712	5714
410	5560	6063	5817	5817
605	9528	10191	9881	9877
610	9676	10302	10002	10004
615	9820	10449	10166	10154
620	10027	10660	10360	10352
623	10229	10811	10528	10526
625	10264	11020	10640	10643
630	10595	11353	10998	10989
633	10883	11489	11195	11195
635	10997	11677	11332	11332
638	11213	11780	11517	11512
640	11294	11958	11628	11632
643	11476	12070	11783	11784
645	11555	12210	11887	11886
648	11707	12288	12012	12008
650	11769	12378	12087	12090
653	11944	12441	12204	12201
655	12005	12516	12278	12275
658	12136	12573	12374	12369
660	12195	12650	12439	12431
663	12311	12727	12522	12520
665	12346	12799	12580	12579
668	12476	12864	12677	12672
670	12524	12953	12736	12734
673	12626	13018	12822	12822
675	12656	13114	12876	12880
678	12730	13178	12960	12959
680	12764	13261	13010	13012
683	12829	13339	13075	13076
685	12852	13424	13119	13119
688	12893	13464	13172	13172
690	12913	13496	13207	13207
695	12962	13620	13285	13287
700	13042	13740	13360	13369
