"labID","age","error","depth"
"236109",5203,266,130
"236110",5414,266,150
"236111",5478,266,156
"236112",5541,266,162
"236113",5604,266,168
"236114",5689,266,176
"236115",5752,266,182
"236116",5815,266,188
"236117",5879,266,194
"236118",5942,266,200
"236119",6005,266,206
"236120",6069,266,212
"236121",6132,266,218
"236122",6217,266,226
"236123",6280,266,232
"236124",6343,266,238
"236125",6407,266,244
"236126",6470,266,250
"236127",6533,266,256
"236128",6597,266,262
"236129",6660,266,268
"236130",6744,266,276
"236131",6808,266,282
"236132",6871,266,288
"236133",6934,266,294
"236134",6998,266,300
"236135",7029,266,303
"236136",7061,266,306
"236137",7093,266,309
"236138",7124,266,312
"236139",7167,266,316
"236140",7209,266,320
"236141",7241,266,323
"236142",7295,266,326
"236143",7461,266,329
"236144",7626,266,332
"236145",7792,266,335
"236146",7958,266,338
"236147",8124,266,341
"236148",8290,266,344
"236149",8456,266,347
"236150",8622,266,350
"236151",8787,266,353
"236152",8953,266,356
"236153",9119,266,359
"236154",9285,266,362
"236155",9506,266,366
"236156",9727,266,370
"236157",9893,266,373
"236158",10059,266,376
"236159",10225,266,379
"236160",10391,266,382
"236161",10557,266,385
"236162",10722,266,388
"236163",10888,266,391
"236164",10952,266,394
"236165",10996,266,397
"236166",11040,266,400
"236167",11127,266,406
"236168",11215,266,412
"236169",11302,266,418
"236170",11419,266,426
"236171",11506,266,432
"236172",11594,266,438
"236173",11681,266,444
"236174",11769,266,450
"236175",11856,266,456
"236176",11944,266,462
"236177",12031,266,468
"236178",12148,266,476
"236179",12235,266,482
"236180",12323,266,488
"236181",12410,266,494
"236182",12498,266,500
"236183",12585,266,506
"236184",12673,266,512
"236185",12760,266,518
"236186",12835,266,526
"236187",12868,266,532
"236188",12900,266,538
"236189",12932,266,544
"236190",12965,266,550
"236191",12997,266,556
"236192",13030,266,562
"236193",13062,266,568
"236194",13105,266,576
"236195",13138,266,582
"236196",13170,266,588
"236197",13202,266,594
"236198",13235,266,600
"236199",13267,266,606
"236200",13300,266,612
"236201",13332,266,618
"236202",13375,266,626
"236203",13408,266,632
"236204",13440,266,638
"236205",13472,266,644
"236206",13505,266,650
"236207",13537,266,656
"236208",13570,266,662
"236209",13602,266,668
"236210",13645,266,676
"236211",13678,266,682
"236212",13710,266,688
"236213",13742,266,694
"236214",13775,266,700
"236215",13807,266,706
"236216",13840,266,712
"236217",13872,266,718
"236218",13915,266,726
"236219",13932,266,729
"236220",13948,266,732
"236221",13964,266,735
"236222",13980,266,738
"236223",13996,266,741
"236224",14012,266,744
"236225",14029,266,747
"236226",14045,266,750
"236227",14061,266,753
"236228",14077,266,756
"236229",14094,266,759
"236230",14110,266,762
"236231",14142,266,768
"236232",14185,266,776
"236233",14218,266,782
"236234",14250,266,788
"236235",14282,266,794
"236236",14315,266,800
"236237",14347,266,806
"236238",14380,266,812
"236239",14412,266,818
"236240",14455,266,826
"236241",14488,266,832
"236242",14520,266,838
"236243",14552,266,844
"236244",14585,266,850
"236245",14617,266,856
"236246",14650,266,862
"236247",14682,266,868
"236248",14725,266,876
"236249",14758,266,882
"236250",14790,266,888
"236251",14822,266,894
"236252",14855,266,900
"236253",14887,266,906
"236254",14920,266,912
"236255",14952,266,918
"236256",14995,266,926
"236257",15028,266,932
"236258",15060,266,938
"236259",15092,266,944
"236260",15125,266,950
"236261",15157,266,956
"236262",15179,266,960
"236263",15211,266,966
"236264",15233,266,970
"236265",15265,266,976
"236266",15298,266,982
"236267",15319,266,986
