depth	min	max	median	mean
0	29	425	233	232
10	177	568	374	376
20	347	731	538	538
30	508	927	709	710
40	675	1113	901	896
50	859	1344	1089	1093
60	1055	1543	1316	1313
70	1283	1824	1552	1551
80	1491	2101	1802	1801
100	2004	2675	2344	2344
110	2302	2992	2645	2641
120	2617	3274	2964	2957
130	2941	3603	3283	3276
140	3280	3909	3598	3596
150	3566	4150	3874	3869
160	3844	4364	4111	4110
170	4039	4561	4299	4300
180	4194	4690	4454	4450
200	4442	4905	4686	4687
210	4573	5022	4800	4799
220	4692	5116	4905	4904
230	4793	5220	5011	5010
235	4835	5276	5062	5060
240	4894	5342	5118	5115
245	4950	5406	5174	5174
250	5007	5475	5237	5237
255	5051	5556	5300	5301
