depth	min	max	median	mean
0	-73	-20	-63	-59
5	-64	157	-5	8
10	-35	261	55	68
15	-8	322	110	121
20	25	379	159	170
25	55	451	203	215
27	70	472	220	231
32	97	523	258	272
37	127	578	296	312
42	160	632	340	352
44	172	649	357	368
48	192	678	389	400
53	230	732	434	443
58	272	791	478	487
63	307	844	522	534
68	349	893	574	586
73	389	959	629	641
78	450	1020	688	699
83	494	1102	754	765
87	535	1171	812	822
92	593	1271	883	896
97	662	1364	963	979
102	728	1481	1065	1077
107	810	1637	1176	1189
112	884	1851	1304	1316
117	986	2030	1436	1453
122	1080	2275	1573	1601
129	1205	2582	1790	1815
139	1410	2988	2082	2113
149	1600	3378	2354	2391
159	1828	3780	2614	2651
169	2006	4013	2827	2869
179	2182	4236	3027	3069
189	2328	4453	3220	3256
194	2391	4508	3296	3342
199	2450	4570	3371	3424
204	2531	4636	3458	3507
208	2571	4712	3524	3570
